labID,depth(cm),density(g/cm^3),210Pb(Bq/kg),sd(210Pb),interval
1,2,0.13,310.166667287,38.000000076,2
2,4,0.13,476.333334286,73.33333348,2
3,6,0.13,463.666667594,61.333333456,2
4,10,0.13,649.0000012979999,174.333333682,2
5,14,0.13,802.166668271,913.166668493,2
6,18,0.14,473.50000094699993,148.000000296,2
7,22,0.18,808.833334951,112.333333558,2
8,40,0.27,418.83333417099993,47.333333428,2
9,44,0.255,196.833333727,31.666666729999996,2
10,48,0.24,133.83333360099996,27.833333388999996,2
11,54,0.34,150.50000030099997,22.666666712,2
12,62,0.56,46.166666758999995,10.333333354,2
13,80,0.74,48.000000095999994,11.500000023,2
14,100,1.78,28.500000057,7.166666681,2
