labID,depth(cm),density(g/cm^3),210Pb(Bq/kg),sd(210Pb),interval
1,2,0.197040893,92.24172398665549,49.84778391959619,2
2,4,0.29502375,47.5178628114691,25.67883659773964,2
3,6,0.269106252,41.782698738882104,22.57953178124351,2
4,8,0.363495743,42.88783986854355,23.17675431624287,2
5,10,0.347169983,40.04056830070276,21.638077763594417,2
6,12,0.313132046,27.433258825860577,14.825039028538605,2
7,14,0.33613524,28.68618711450323,15.50212631506898,2
8,16,0.342275084,30.377209718282465,16.415961461607814,2
9,18,0.381462568,26.85929861855147,14.514868715627603,2
10,20,0.329740748,23.513889853497197,12.706996897584895,2
