labID,depth(cm),density(g/cm^3),210Pb(Bq/kg),sd(210Pb),interval,226Ra(Bq/kg),sd(226Ra)
1,1,0.2383,356.8666673804,10.77666668822,1,18.74166670415,2.00166667067
2,2,0.2777,348.81166736429,10.95333335524,1,12.926666692519998,2.1166666709
3,3,0.1173,355.54166737774995,14.470000028939998,1,14.40500002881,3.1683333396699997
4,4,0.1266,300.81333393496,12.90500002581,1,14.4000000288,2.54166667175
5,5,0.1514,382.79500076559,14.738333362809998,1,10.000000019999998,1.66666667
6,6,0.1358,402.8450008056899,11.28000002256,1,10.150000020299998,1.7866666702399998
7,7,0.1614,229.76833379287,9.121666684909998,1,10.000000019999998,1.66666667
8,8,0.197,173.93166701453,8.191666683049998,1,9.8166666863,1.77000000354
9,9,0.1524,182.61833369857,6.37333334608,1,5.54166667775,1.49666666966
10,10,0.1674,177.10000035419998,5.950000011899999,1,10.000000019999998,1.66666667
11,11,0.1361,201.2833337359,9.96333335326,1,9.36833335207,2.2483333378299997
12,12,0.1489,181.35500036271,9.685000019369998,1,6.34333334602,1.8216666703099995
13,13,0.2727,82.95666683258,3.72500000745,1,3.77666667422,0.94500000189
14,14,0.2115,176.10166701887002,7.43166668153,1,5.78833334491,1.50500000301
15,15,0.1586,190.93833371521,7.351666681369999,1,10.000000019999998,1.66666667
16,16,0.1574,196.9500003939,10.89166668845,1,10.000000019999998,1.66666667
17,17,0.1629,166.24500033248998,9.04333335142,1,12.37833335809,2.17333333768
18,18,0.1594,131.51000026301998,6.351666679369999,1,13.2500000265,2.05166667077
19,19,0.2281,96.75666686018,4.51833334237,1,8.328333349989999,1.1766666690199998
20,20,0.1002,102.57500020515,7.86833334907,1,9.820000019639998,2.2483333378299997
21,21,0.1361,121.07833357549,7.54333334842,1,10.000000019999998,1.66666667
22,22,0.0907,118.69166690405,9.08000001816,1,12.821666692309998,2.9750000059499997
23,23,0.1451,95.71000019142,5.7233333447799994,1,4.875000009749999,1.41333333616
24,24,0.2123,60.33000012066,4.053333341439999,1,8.475000016949998,1.1066666688799998
25,25,0.1749,59.306666785279994,4.501666675669999,1,11.66500002333,1.5533333364400002
26,26,0.2484,47.29666676126,4.37000000874,1,8.55166668377,1.4500000028999998
27,27,0.4065,30.41333339416,14.11166669489,1,9.331666685329996,0.60666666788
28,28,0.4043,30.29666672726,2.43666667154,1,12.77000002554,0.92500000185
29,29,0.7245,24.665000049329997,1.4750000029500001,1,14.246666695159998,0.4666666676
30,30,1.0566,18.5666667038,1.32000000264,1,15.523333364380001,0.43000000086
31,32,1.1823,12.88500002577,1.08500000217,2,12.51333335836,0.34500000069
32,34,1.3956,15.313333363959998,1.0716666688099998,2,13.768333360869995,0.39000000078
