depth	min	max	median	mean
0	-65	-65	-65	-65
1	-62	-61	-62	-62
2	-58	-57	-57	-57
3	-56	-55	-55	-55
4	-54	-52	-53	-53
5	-51	-49	-50	-50
6	-47	-45	-46	-46
7	-45	-43	-44	-44
8	-42	-40	-41	-41
9	-40	-38	-39	-39
10	-38	-35	-36	-36
11	-35	-32	-34	-34
12	-33	-29	-31	-31
13	-30	-27	-29	-29
14	-26	-23	-24	-24
15	-22	-18	-20	-20
16	-18	-13	-15	-15
17	-14	-8	-10	-10
18	-10	-3	-6	-6
19	-5	3	-1	-1
20	-3	6	2	2
21	1	11	6	6
22	4	15	10	10
23	9	21	15	15
24	13	28	20	20
25	17	34	25	25
26	21	42	31	31
27	26	50	37	37
28	31	60	45	45
29	38	74	55	55
30	44	88	65	65
31	47	95	69	70
32	49	101	73	74
33	52	107	77	78
34	54	114	82	82
