depth	min	max	median	mean
0	-69	-69	-69	-69
1	-67	-65	-66	-66
2	-65	-60	-63	-62
3	-62	-55	-59	-59
4	-60	-49	-55	-55
5	-57	-43	-51	-50
6	-54	-34	-45	-45
7	-50	-25	-40	-39
8	-48	-20	-37	-36
9	-46	-14	-33	-32
10	-43	-9	-29	-28
11	-41	-3	-25	-24
12	-38	4	-20	-19
13	-35	11	-15	-15
14	-32	17	-11	-10
15	-28	24	-6	-5
16	-25	30	-1	0
17	-22	36	4	5
18	-19	42	9	9
19	-15	48	14	14
20	-13	55	19	19
21	-9	61	23	24
22	-5	67	28	29
23	-1	73	33	34
24	4	80	39	39
25	8	86	44	44
26	12	92	49	49
27	16	98	54	55
28	20	104	59	60
29	24	111	64	65
30	26	119	69	70
