depth	min	max	median	mean
0	-67	-67	-67	-67
1	-66	-64	-65	-65
2	-64	-63	-64	-64
3	-63	-61	-62	-62
4	-62	-60	-61	-61
5	-60	-59	-60	-60
6	-59	-58	-59	-59
7	-58	-56	-57	-57
8	-57	-55	-56	-56
9	-56	-54	-55	-55
10	-54	-52	-53	-53
11	-52	-49	-50	-50
12	-49	-45	-47	-47
13	-45	-41	-43	-43
14	-42	-38	-40	-40
15	-39	-34	-36	-36
16	-36	-30	-32	-32
17	-32	-25	-28	-29
18	-30	-22	-25	-25
19	-26	-17	-21	-21
20	-23	-12	-16	-16
21	-18	-5	-10	-11
22	-13	3	-4	-5
23	-8	12	3	2
24	-3	23	11	10
25	2	37	20	20
26	7	54	29	30
27	12	74	39	40
