labID,depth(cm),density(g/cm^3),210Pb(Bq/kg),sd(210Pb),interval
1,2,0.26,607.0833345474999,14.6166666959,2
2,4,0.35,589.5333345124,13.9833333613,2
3,6,0.31,583.666667834,14.083333361499998,2
4,8,0.34,350.70000070140003,7.7833333489,2
5,10,0.36,407.7333341488,9.0166666847,2
6,12,0.4,501.43333433619995,12.1000000242,2
7,14,0.68,327.1500006543,7.0666666808,2
8,16,0.49,325.1166673169,7.0666666808,2
9,18,0.46,346.0166673587,7.6333333486,2
10,20,0.4,387.4666674416,8.633333350600001,2
11,22,0.59,540.3000010805999,13.2833333599,2
12,24,0.43,378.2500007565,8.3833333501,2
13,26,0.35,494.8833343231,12.9333333592,2
14,28,0.41,496.7166676601,12.4333333582,2
15,30,0.34,393.4333341202,8.2833333499,2
16,32,0.33,490.4833343142999,12.1500000243,2
17,34,0.41,514.666667696,12.3666666914,2
18,36,0.4,399.1166674649,8.7833333509,2
19,38,0.38,358.08333404949997,7.7833333489,2
20,40,0.42,466.0500009321,11.6833333567,2
21,42,0.43,541.66666775,13.2166666931,2
22,44,0.46,507.5500010150999,11.916666690499998,2
