depth	min	max	median	mean
0	-66	-66	-66	-66
1	-64	-60	-62	-62
2	-62	-54	-57	-58
3	-60	-43	-50	-51
4	-57	-32	-43	-44
5	-54	-9	-32	-32
6	-51	16	-21	-21
7	-51	21	-18	-18
8	-51	28	-16	-15
9	-50	32	-13	-13
10	-50	38	-10	-10
11	-48	44	-2	-4
12	-46	52	6	3
13	-45	58	11	7
14	-45	65	16	11
15	-44	71	20	15
16	-43	77	24	19
17	-42	83	29	23
18	-42	90	32	26
19	-41	95	36	30
20	-41	101	40	33
21	-35	107	45	38
22	-30	112	49	43
23	-29	118	54	47
24	-28	124	58	51
25	-25	129	63	56
26	-22	135	68	61
27	-18	141	73	67
28	-14	147	78	72
29	-13	152	83	76
30	-13	158	88	80
31	-8	163	93	86
32	-4	168	98	91
33	8	173	103	97
34	16	179	108	103
35	18	184	113	108
36	20	190	117	112
37	22	194	122	117
38	25	199	127	122
39	31	205	132	127
40	35	210	137	132
41	41	216	142	137
42	46	221	147	142
43	51	226	152	147
44	55	232	156	152
