depth	min	max	median	mean
0	-59	-59	-59	-59
1	-57	-56	-57	-57
2	-56	-53	-55	-55
3	-54	-50	-52	-52
4	-52	-46	-49	-49
5	-50	-42	-46	-46
6	-48	-38	-43	-43
7	-46	-34	-40	-40
8	-44	-30	-37	-37
9	-42	-28	-35	-35
10	-40	-25	-33	-33
11	-39	-23	-31	-31
12	-37	-20	-28	-28
13	-35	-17	-26	-26
14	-33	-14	-24	-24
15	-31	-12	-22	-21
16	-30	-8	-19	-19
17	-28	-5	-17	-17
18	-26	-2	-14	-14
19	-25	1	-11	-11
20	-23	5	-9	-9
21	-21	9	-5	-5
22	-19	13	-2	-2
23	-18	17	1	1
24	-16	22	4	4
25	-14	27	8	8
26	-13	32	12	11
27	-11	37	16	15
28	-10	43	20	19
29	-8	49	25	24
30	-6	55	30	28
31	-5	61	35	33
32	-3	67	39	37
33	-2	72	44	41
34	0	78	48	46
35	1	82	53	50
36	3	87	57	54
37	4	92	61	57
38	6	97	64	60
39	7	101	68	64
40	8	106	72	67
41	10	110	75	71
42	11	114	78	74
43	13	118	82	77
44	14	122	85	80
45	15	125	89	83
46	17	129	92	87
47	18	133	96	90
48	19	137	99	93
49	20	141	103	97
50	22	145	107	100
51	23	149	110	103
52	24	153	114	107
53	25	156	118	110
54	26	160	122	114
55	27	165	125	117
56	29	169	129	121
57	30	172	133	124
58	31	176	137	128
59	32	180	141	131
60	33	184	145	134
61	34	187	149	138
62	35	191	152	141
63	36	195	156	145
64	37	198	160	148
65	38	201	164	151
66	39	205	167	155
67	40	208	171	158
68	41	212	175	162
69	42	215	179	165
70	43	218	183	169
71	44	221	187	172
72	45	225	191	175
73	46	228	194	179
74	47	231	198	182
75	47	234	202	186
76	48	238	206	189
77	49	241	210	192
78	50	244	214	196
79	50	246	218	199
80	51	249	222	203
81	51	252	226	206
82	52	255	230	209
83	53	257	234	212
84	53	260	238	216
85	53	262	242	219
86	54	265	246	222
