study_id,site_id,core_id,depth_min,depth_max,country,admin_division,habitat,marker_type,marker_notes,year,marker_date,marker_date_se,high_accretion,same_depth_increments,low_accretion,age_min,age_max,depth_med,age_mean,age_sd
Abbott_et_al_2019,C2,C2-5,1.5,2.5,United States,Louisiana,marsh,dredge horizon,NA,2015,2010,NA,0.4,1,0.3,2011.25,2006.6666666666667,2,2008.9583333333335,1.3230943668928705
Abbott_et_al_2019,C2,C2-6,1.5,2.5,United States,Louisiana,marsh,dredge horizon,NA,2015,2010,NA,0.4,1,0.3,2011.25,2006.6666666666667,2,2008.9583333333335,1.3230943668928705
Abbott_et_al_2019,C3,C3-1,3.5,4.5,United States,Louisiana,marsh,dredge horizon,NA,2015,2007,NA,0.5,1,0.4375,2008,2004.7142857142858,4,2006.357142857143,0.9485040136686522
Abbott_et_al_2019,C3,C3-2,3.5,4.5,United States,Louisiana,marsh,dredge horizon,NA,2015,2007,NA,0.5,1,0.4375,2008,2004.7142857142858,4,2006.357142857143,0.9485040136686522
Abbott_et_al_2019,C3,C3-3,3.5,4.5,United States,Louisiana,marsh,dredge horizon,NA,2015,2007,NA,0.5,1,0.4375,2008,2004.7142857142858,4,2006.357142857143,0.9485040136686522
Abbott_et_al_2019,C3,C3-4,5.5,6.5,United States,Louisiana,marsh,dredge horizon,NA,2015,2007,NA,0.75,1,0.6875,2007.6666666666667,2005.5454545454545,6,2006.6060606060605,0.6123411945950914
Abbott_et_al_2019,C3,C3-5,5.5,6.5,United States,Louisiana,marsh,dredge horizon,NA,2015,2007,NA,0.75,1,0.6875,2007.6666666666667,2005.5454545454545,6,2006.6060606060605,0.6123411945950914
Abbott_et_al_2019,C3,C3-6,5.5,6.5,United States,Louisiana,marsh,dredge horizon,NA,2015,2007,NA,0.75,1,0.6875,2007.6666666666667,2005.5454545454545,6,2006.6060606060605,0.6123411945950914
Gerlach_et_al_2017,Mill_Bayou,LMR_14_9B,5.5,6.5,United States,Florida,marsh,pollution,Peak concentration of lead before Clean Air Act.,2014,1974,5,0.15,1,0.1375,1977.3333333333333,1966.7272727272727,6,1972.030303030303,3.0617059729752603
Gerlach_et_al_2017,Mill_Bayou,LMR_14_9B,7,11,United States,Florida,marsh,pollution,"Onset of increased arsenic concentration due to use of arsenic-bearing compounds as herbicides for citrus fruit groves, laws, and golf courses.",2014,1955,5,0.1864406779661017,0,0.11864406779661017,1976.4545454545455,1921.2857142857142,9,1948.8701298701299,15.925869763100875
Gerlach_et_al_2017,Mill_Bayou,LMR_14_9B,11,16,United States,Florida,marsh,pollution,Initial increase of lead concentrations due to introduction of leaded gasoline and increased private ownership of motor vehicles in western Florida.,2014,1930,5,0.19047619047619047,0,0.13095238095238096,1956.25,1891.8181818181818,13.5,1924.034090909091,18.599863785824894
Gerlach_et_al_2017,Mill_Bayou,LMR_14_9B,19,25,United States,Florida,marsh,pollen,First reliable observation of introduced ornamental Casuarina pollen.,2014,1905,10,0.22935779816513763,0,0.1743119266055046,1931.16,1870.578947368421,22,1900.8694736842106,17.488243522316523
Kemp_et_al_2020,Barnegat_Bay,BB1B,6,8,United States,New Jersey,marsh,pollution,206Pb:207Pb - Gasoline peak,2009,1980,5,0.27586206896551724,0,0.20689655172413793,1987.25,1970.3333333333333,7,1978.7916666666665,4.883421026895607
Kemp_et_al_2020,Barnegat_Bay,BB1B,8,10,United States,New Jersey,marsh,pollution,Pb concentration - Peak in national Pb production,2009,1974,5,0.2857142857142857,0,0.22857142857142856,1981,1965.25,9,1973.125,4.546633369868303
Kemp_et_al_2020,Barnegat_Bay,BB1B,10,12,United States,New Jersey,marsh,pollution,206Pb:207Pb - Gasoline minimum,2009,1965,5,0.2727272727272727,0,0.22727272727272727,1972.3333333333333,1956.2,11,1964.2666666666667,4.657292171462946
Kemp_et_al_2020,Barnegat_Bay,BB1B,16,18,United States,New Jersey,marsh,pollution,Pb concentration - Minimum in national Pb production and consumption,2009,1935,6,0.24324324324324326,0,0.21621621621621623,1943.2222222222222,1925.75,17,1934.486111111111,5.043796101670466
Kemp_et_al_2020,Barnegat_Bay,BB1B,20,22,United States,New Jersey,marsh,pollution,Pb concentration - Peak in national Pb production,2009,1925,5,0.2619047619047619,0,0.23809523809523808,1932.6363636363637,1916.6,21,1924.6181818181817,4.6292994311386915
Kemp_et_al_2020,Barnegat_Bay,BB1B,22,28,United States,New Jersey,marsh,pollution,206Pb:207Pb - Decline of UMV Pb production,2009,1880,20,0.21705426356589147,0,0.17054263565891473,1907.642857142857,1844.8181818181818,25,1876.2305194805194,18.135921605226077
Kemp_et_al_2020,Barnegat_Bay,BB1B,30,36,United States,New Jersey,marsh,pollution,Pb concentration - Start of national Pb production,2009,1875,5,0.26865671641791045,0,0.22388059701492538,1897.3333333333333,1848.2,33,1872.7666666666667,14.183571613091772
Kemp_et_al_2020,Barnegat_Bay,BB1B,32,36,United States,New Jersey,marsh,pollution,206Pb:207Pb - Peak contribution of UMV,2009,1857.5,5,0.2376237623762376,0,0.21122112211221122,1874.3333333333333,1838.5625,34,1856.4479166666665,10.326150127068598
Kemp_et_al_2020,Barnegat_Bay,BB1B,40,42,United States,New Jersey,marsh,pollution,206Pb:207Pb - Start of UMV Pb production,2009,1827,5,0.23076923076923078,0,0.21978021978021978,1835.6666666666667,1817.9,41,1826.7833333333333,5.128794891301172
Shaw_et_al_2020,GCREW,CB109,8,12,United States,Maryland,marsh,pollution,206Pb:207Pb (decline),2014,1980,5,0.35294117647058826,0,0.23529411764705882,1991.3333333333333,1963,10,1977.1666666666665,8.179128813519677
Shaw_et_al_2020,GCREW,CB109,12,22,United States,Maryland,marsh,pollution,Lead pollution (peak),2014,1974,5,0.55,0,0.3,1992.1818181818182,1940.6666666666667,17,1966.4242424242425,14.871143297308539
Shaw_et_al_2020,GCREW,CB109,15,19,United States,Maryland,marsh,pollution,137CS (onset),2014,1954,3,0.31666666666666665,0,0.25,1966.6315789473683,1938,17,1952.3157894736842,8.265224906293563
Shaw_et_al_2020,GCREW,CB109,28,38,United States,Maryland,marsh,pollution,206Pb:207Pb (decline UMV),2014,1880,20,0.2835820895522388,0,0.208955223880597,1915.2631578947369,1832.142857142857,33,1873.703007518797,23.99476400711022
Shaw_et_al_2020,GCREW,CB109,28,36,United States,Maryland,marsh,pollen,Ambrosia pollen (peak),2014,1850,20,0.21951219512195122,0,0.17073170731707318,1886.4444444444443,1803.142857142857,32,1844.7936507936506,24.04709692624725
Shaw_et_al_2020,GCREW,CB109,36,46,United States,Maryland,marsh,pollution,206Pb:207Pb (peak UMV),2014,1858,5,0.2948717948717949,0,0.23076923076923078,1891.913043478261,1814.6666666666667,41,1853.289855072464,22.299108223048602
Shaw_et_al_2020,GCREW,CB109,48,56,United States,Maryland,marsh,pollen,Quercus:Ambrosia pollen (<1:1),2014,1780,20,0.23931623931623933,0,0.20512820512820512,1813.4285714285716,1741,52,1777.2142857142858,20.908327605652914
