study_id,site_id,core_id,depth_min,depth_max,c14_age,c14_age_se,c14_material,depth_med,carbonate_or_organic
Belshe_et_al_2019,EP,EP05,24,25,398,23,seagrass_sheath,24.5,organic
Belshe_et_al_2019,EP,EP05,26,27,379,24,seagrass_sheath,26.5,organic
Belshe_et_al_2019,EP,EP05,34,35,467,27,seagrass_sheath,34.5,organic
Belshe_et_al_2019,EP,EP05,44,45,502,27,seagrass_sheath,44.5,organic
Belshe_et_al_2019,EP,EP05,54,55,1741,28,seagrass_sheath,54.5,organic
Belshe_et_al_2019,EP,EP05,64,65,1940,26,seagrass_sheath,64.5,organic
Belshe_et_al_2019,EP,EP05,84,85,1788,29,seagrass_sheath,84.5,organic
Belshe_et_al_2019,SM,SM05,24,25,75,26,seagrass_sheath,24.5,organic
Belshe_et_al_2019,SM,SM05,34,35,105,28,seagrass_sheath,34.5,organic
Belshe_et_al_2019,SM,SM05,43,44,366,25,seagrass_sheath,43.5,organic
Belshe_et_al_2019,SM,SM05,44,45,439,25,seagrass_sheath,44.5,organic
Belshe_et_al_2019,SM,SM10,36,37,449,28,seagrass_sheath,36.5,organic
Belshe_et_al_2019,SM,SM10,40,41,384,29,seagrass_sheath,40.5,organic
Belshe_et_al_2019,SM,SM10,46,47,479,26,seagrass_sheath,46.5,organic
Belshe_et_al_2019,SM,SM10,62,63,593,61,seagrass_sheath,62.5,organic
Belshe_et_al_2019,SM,SM10,82,83,740,34,seagrass_sheath,82.5,organic
Belshe_et_al_2019,SM,SM10,124,125,1063,43,seagrass_sheath,124.5,organic
Belshe_et_al_2019,SM,SM15,30,31,610,24,seagrass_sheath,30.5,organic
Belshe_et_al_2019,SM,SM15,34,35,573,23,seagrass_sheath,34.5,organic
Belshe_et_al_2019,SM,SM15,51,52,1732,32,seagrass_sheath,51.5,organic
Belshe_et_al_2019,SM,SM15,54,55,1508,29,seagrass_sheath,54.5,organic
Belshe_et_al_2019,SM,SM15,64,65,1583,23,seagrass_sheath,64.5,organic
Belshe_et_al_2019,SM,SM15,79,80,2447,32,seagrass_sheath,79.5,organic
Belshe_et_al_2019,SM,SM25,24,25,508,20,seagrass_sheath,24.5,organic
Belshe_et_al_2019,SM,SM25,30,31,608,27,seagrass_sheath,30.5,organic
Belshe_et_al_2019,SM,SM25,34,35,604,29,seagrass_sheath,34.5,organic
Belshe_et_al_2019,SM,SM25,44,45,1000,27,seagrass_sheath,44.5,organic
Belshe_et_al_2019,SM,SM25,50,51,1234,27,seagrass_sheath,50.5,organic
Belshe_et_al_2019,SM,SM25,64,65,1957,24,seagrass_sheath,64.5,organic
Belshe_et_al_2019,SM,SM25,70,71,1985,25,seagrass_sheath,70.5,organic
Belshe_et_al_2019,SM,SM25,83,84,2178,28,seagrass_sheath,83.5,organic
Costa_et_al_2023,Baja-Bahia Magdalena,Baja-Bahia Magdalena-III,126,128,1301,51,Woody mangrove material (seemingly mostly remains of roots),127,organic
Costa_et_al_2023,Baja-El Merito I (EMI),Baja-El Merito I (EMI)-I,0,5,6,0,Woody mangrove material (seemingly mostly remains of roots),2.5,organic
Costa_et_al_2023,Baja-El Merito I (EMI),Baja-El Merito I (EMI)-I,20,25,35,28,Woody mangrove material (seemingly mostly remains of roots),22.5,organic
Costa_et_al_2023,Baja-El Merito I (EMI),Baja-El Merito I (EMI)-I,40,45,34.5,26.5,Woody mangrove material (seemingly mostly remains of roots),42.5,organic
Costa_et_al_2023,Baja-El Merito I (EMI),Baja-El Merito I (EMI)-I,60,65,5242.5,121.5,Woody mangrove material (seemingly mostly remains of roots),62.5,organic
Costa_et_al_2023,Baja-El Merito I (EMI),Baja-El Merito I (EMI)-I,80,85,1874.5,71.5,Woody mangrove material (seemingly mostly remains of roots),82.5,organic
Costa_et_al_2023,Baja-El Merito I (EMI),Baja-El Merito I (EMI)-I,100,105,2058,65,Woody mangrove material (seemingly mostly remains of roots),102.5,organic
Costa_et_al_2023,Baja-El Merito I (EMI),Baja-El Merito I (EMI)-I,120,125,1730,47,Woody mangrove material (seemingly mostly remains of roots),122.5,organic
Costa_et_al_2023,Baja-El Merito I (EMI),Baja-El Merito I (EMI)-I,140,145,3463,50,Woody mangrove material (seemingly mostly remains of roots),142.5,organic
Costa_et_al_2023,Baja-El Merito I (EMI),Baja-El Merito I (EMI)-I,160,165,3835.5,66.5,Woody mangrove material (seemingly mostly remains of roots),162.5,organic
Costa_et_al_2023,Baja-El Merito I (EMI),Baja-El Merito I (EMI)-I,180,185,3969.5,60.5,Woody mangrove material (seemingly mostly remains of roots),182.5,organic
Costa_et_al_2023,Baja-El Merito I (EMI),Baja-El Merito I (EMI)-I,200,205,4055.5,82.5,Woody mangrove material (seemingly mostly remains of roots),202.5,organic
Costa_et_al_2023,Baja-El Merito I (EMI),Baja-El Merito I (EMI)-I,220,225,5020,81,Woody mangrove material (seemingly mostly remains of roots),222.5,organic
