study_id,site_id,core_id,depth_min,depth_max,radioisotope,radioactivity,error
Allen_et_al_2022,Naticoke River Marsh 1,NRM_1C,50,60,total_pb210_activity,5.977000011954,2.0469529861405866
Allen_et_al_2022,Naticoke River Marsh 2,NRM_2A,0,2.5,total_pb210_activity,115.388166897443,39.517174556403056
Allen_et_al_2022,Naticoke River Marsh 2,NRM_2A,2.5,5,total_pb210_activity,93.186833519707,31.91384754235433
Allen_et_al_2022,Naticoke River Marsh 2,NRM_2A,5,7.5,total_pb210_activity,86.35800017271599,29.575165798415387
Allen_et_al_2022,Naticoke River Marsh 2,NRM_2A,7.5,10,total_pb210_activity,80.508166827683,27.571763789030847
Allen_et_al_2022,Naticoke River Marsh 2,NRM_2A,10,15,total_pb210_activity,60.18100012036199,20.610285705023696
Allen_et_al_2022,Naticoke River Marsh 2,NRM_2A,15,20,total_pb210_activity,50.207666767081996,17.194701892334702
Allen_et_al_2022,Naticoke River Marsh 2,NRM_2A,20,25,total_pb210_activity,55.451166777569,18.990451931288725
Allen_et_al_2022,Naticoke River Marsh 2,NRM_2A,30,35,total_pb210_activity,20.500333374333998,7.020782756155943
Allen_et_al_2022,Naticoke River Marsh 2,NRM_2A,40,45,total_pb210_activity,6.798500013596999,2.3282934375567637
Allen_et_al_2022,Naticoke River Marsh 2,NRM_2A,50,60,total_pb210_activity,4.501333342335999,1.5415790042296849
Allen_et_al_2022,Naticoke River Marsh 2,NRM_2B,0,2.5,total_pb210_activity,94.37333352207999,32.32019014199559
Allen_et_al_2022,Naticoke River Marsh 2,NRM_2B,2.5,5,total_pb210_activity,88.91350017782699,30.450352071810446
Allen_et_al_2022,Naticoke River Marsh 2,NRM_2B,5,7.5,total_pb210_activity,85.60366683787399,29.316828025416886
Allen_et_al_2022,Naticoke River Marsh 2,NRM_2B,7.5,10,total_pb210_activity,79.0833334915,27.083798782101066
Allen_et_al_2022,Naticoke River Marsh 2,NRM_2B,10,15,total_pb210_activity,71.484666809636,24.481470954759544
Allen_et_al_2022,Naticoke River Marsh 2,NRM_2B,15,20,total_pb210_activity,70.537166807741,24.15697907683279
Allen_et_al_2022,Naticoke River Marsh 2,NRM_2B,30,35,total_pb210_activity,60.404666787475996,20.686885194940622
Allen_et_al_2022,Naticoke River Marsh 2,NRM_2B,50,60,total_pb210_activity,38.406666743479995,13.153194080816373
Allen_et_al_2022,Naticoke River Marsh 2,NRM_2B,70,80,total_pb210_activity,31.158500062316996,10.670902562934828
Allen_et_al_2022,Naticoke River Marsh 2,NRM_2C,0,2.5,total_pb210_activity,86.409833506153,29.592917245035483
Allen_et_al_2022,Naticoke River Marsh 2,NRM_2C,2.5,5,total_pb210_activity,78.10666682287999,26.7493181480376
Allen_et_al_2022,Naticoke River Marsh 2,NRM_2C,5,7.5,total_pb210_activity,68.127500136255,23.331736584121266
Allen_et_al_2022,Naticoke River Marsh 2,NRM_2C,7.5,10,total_pb210_activity,66.942000133884,22.92573645611898
Allen_et_al_2022,Naticoke River Marsh 2,NRM_2C,10,15,total_pb210_activity,53.384000106768,18.282505974925396
Allen_et_al_2022,Naticoke River Marsh 2,NRM_2C,15,20,total_pb210_activity,54.20216677507101,18.562704854211663
Allen_et_al_2022,Naticoke River Marsh 2,NRM_2C,30,35,total_pb210_activity,26.354833386043,9.02578296652236
Allen_et_al_2022,Naticoke River Marsh 2,NRM_2C,50,60,total_pb210_activity,7.31500001463,2.505180039086229
Allen_et_al_2022,Naticoke River Marsh 3,NRM_3A,0,2.5,total_pb210_activity,130.073500260147,44.546484731932004
Allen_et_al_2022,Naticoke River Marsh 3,NRM_3A,2.5,5,total_pb210_activity,117.80916690228499,40.34629839435626
Allen_et_al_2022,Naticoke River Marsh 3,NRM_3A,5,7.5,total_pb210_activity,114.510166895687,39.21648445738491
Allen_et_al_2022,Naticoke River Marsh 3,NRM_3A,7.5,10,total_pb210_activity,111.339000222678,38.13044981159558
Allen_et_al_2022,Naticoke River Marsh 3,NRM_3A,10,15,total_pb210_activity,110.644500221289,37.89260325832895
Allen_et_al_2022,Naticoke River Marsh 3,NRM_3A,15,20,total_pb210_activity,115.47250023094499,39.546056331289755
Allen_et_al_2022,Naticoke River Marsh 3,NRM_3A,30,35,total_pb210_activity,91.87016685040699,31.462926551040105
Allen_et_al_2022,Naticoke River Marsh 3,NRM_3A,50,60,total_pb210_activity,94.84733352302798,32.4825216988687
Allen_et_al_2022,Naticoke River Marsh 3,NRM_3B,0,2.5,total_pb210_activity,94.498500188997,32.36305617547369
Allen_et_al_2022,Naticoke River Marsh 3,NRM_3B,2.5,5,total_pb210_activity,99.792333532918,34.176043953589335
Allen_et_al_2022,Naticoke River Marsh 3,NRM_3B,5,7.5,total_pb210_activity,95.342166857351,32.65198808155377
Allen_et_al_2022,Naticoke River Marsh 3,NRM_3B,7.5,10,total_pb210_activity,99.77800019955599,34.17113519343072
Allen_et_al_2022,Naticoke River Marsh 3,NRM_3B,10,15,total_pb210_activity,81.94333349722,28.06326766956335
Allen_et_al_2022,Naticoke River Marsh 3,NRM_3B,15,20,total_pb210_activity,76.708166820083,26.270371560934105
Allen_et_al_2022,Naticoke River Marsh 3,NRM_3B,30,35,total_pb210_activity,63.081833459497,21.603738851077374
Allen_et_al_2022,Naticoke River Marsh 3,NRM_3C,0,2.5,total_pb210_activity,75.22850015045698,25.763627692467306
Allen_et_al_2022,Naticoke River Marsh 3,NRM_3C,2.5,5,total_pb210_activity,48.422000096843995,16.583161702342224
Allen_et_al_2022,Naticoke River Marsh 3,NRM_3C,5,7.5,total_pb210_activity,34.248333401829996,11.729082848754366
Allen_et_al_2022,Naticoke River Marsh 3,NRM_3C,7.5,10,total_pb210_activity,30.33000006066,10.387164810045842
Allen_et_al_2022,Naticoke River Marsh 3,NRM_3C,10,15,total_pb210_activity,29.589833392512997,10.133678718599453
Allen_et_al_2022,Naticoke River Marsh 3,NRM_3C,15,20,total_pb210_activity,24.886333383106,8.522863364690762
Allen_et_al_2022,Naticoke River Marsh 3,NRM_3C,30,35,total_pb210_activity,16.114000032228,5.518587990408133
Allen_et_al_2022,Naticoke River Marsh 3,NRM_3C,50,60,total_pb210_activity,14.231166695129,4.873770972828796
Allen_et_al_2022,Naticoke River Marsh 4,NRM_4A,0,2.5,total_pb210_activity,148.331166963329,50.79921775908489
Allen_et_al_2022,Naticoke River Marsh 4,NRM_4A,2.5,5,total_pb210_activity,123.879666914426,42.42527247874081
Allen_et_al_2022,Naticoke River Marsh 4,NRM_4A,5,7.5,total_pb210_activity,164.16216699499097,56.2208862756637
Allen_et_al_2022,Naticoke River Marsh 4,NRM_4A,7.5,10,total_pb210_activity,135.555666937778,46.42397133538754
Allen_et_al_2022,Naticoke River Marsh 4,NRM_4A,10,15,total_pb210_activity,111.987666890642,38.35259974807595
Allen_et_al_2022,Naticoke River Marsh 4,NRM_4A,15,20,total_pb210_activity,100.53266686773199,34.42958712364222
Allen_et_al_2022,Naticoke River Marsh 4,NRM_4A,30,35,total_pb210_activity,59.535333452404,20.389163183460244
Allen_et_al_2022,Naticoke River Marsh 4,NRM_4A,50,60,total_pb210_activity,24.748166716163,8.475545199906017
Allen_et_al_2022,Naticoke River Marsh 4,NRM_4B,0,2.5,total_pb210_activity,139.69666694606,47.84214639237401
Allen_et_al_2022,Naticoke River Marsh 4,NRM_4B,2.5,5,total_pb210_activity,114.419333562172,39.18537661684488
Allen_et_al_2022,Naticoke River Marsh 4,NRM_4B,5,7.5,total_pb210_activity,149.73116696612897,51.278678053646836
Allen_et_al_2022,Naticoke River Marsh 4,NRM_4B,7.5,10,total_pb210_activity,151.785333636904,51.98217187870353
Allen_et_al_2022,Naticoke River Marsh 4,NRM_4B,10,15,total_pb210_activity,127.89550025579099,43.80058150224919
Allen_et_al_2022,Naticoke River Marsh 4,NRM_4B,15,20,total_pb210_activity,101.042166868751,34.60407642369888
Allen_et_al_2022,Naticoke River Marsh 4,NRM_4B,20,25,total_pb210_activity,101.11133353555599,34.62776404539449
Allen_et_al_2022,Naticoke River Marsh 4,NRM_4B,30,35,total_pb210_activity,78.48833349031,26.880028156912232
Allen_et_al_2022,Naticoke River Marsh 4,NRM_4B,50,60,total_pb210_activity,25.676833384687,8.793587195298782
