depth	min	max	median	mean
0	-66	-66	-66	-66
1	-62	-61	-61	-61
2	-56	-54	-55	-55
3	-50	-47	-49	-49
4	-47	-44	-45	-45
5	-45	-41	-43	-43
6	-43	-39	-41	-41
7	-41	-37	-39	-39
8	-39	-35	-37	-37
9	-37	-32	-35	-35
10	-34	-29	-32	-32
11	-30	-24	-27	-27
12	-25	-17	-21	-21
13	-20	-10	-15	-15
14	-17	-6	-12	-12
15	-14	-1	-8	-8
16	-11	3	-4	-4
17	-7	9	0	1
18	-4	14	4	4
19	-2	17	7	7
20	0	21	10	10
21	3	26	13	13
22	6	32	17	18
23	9	37	21	22
24	13	43	26	26
25	16	50	30	31
26	18	55	34	34
27	21	60	37	38
28	24	66	42	43
29	28	72	46	47
30	31	78	51	52
31	34	84	56	56
32	38	90	60	61
33	41	96	65	66
34	45	103	70	71
35	48	109	74	75
36	52	115	79	80
37	55	121	84	85
38	59	127	89	90
39	63	133	94	95
40	67	139	99	100
41	71	145	104	105
42	74	152	109	110
43	78	158	114	115
44	83	163	119	120
45	86	169	124	125
46	91	175	129	130
47	95	181	134	135
48	99	186	139	141
49	105	192	145	146
50	109	198	150	151
51	114	204	155	156
52	118	210	160	161
53	123	216	165	166
54	127	221	170	171
55	131	227	175	176
56	135	233	180	181
