labID,depth(cm),density(g/cm^3),210Pb(Bq/kg),sd(210Pb),interval
1,2,0.36,102.666666872,14.666666695999998,2
2,4,0.36,88.83333351099999,13.666666694,2
3,6,0.36,69.166666805,12.000000023999998,2
4,10,0.36,38.333333409999995,8.500000017,2
5,14,0.36,57.500000115,11.500000023,2
6,18,0.45,71.500000143,11.166666689,2
7,24,0.36,89.000000178,13.33333336,2
8,32,0.645,76.33333348599999,12.833333359,2
9,40,0.93,27.166666721,9.000000018,2
10,60,0.43,35.00000007,7.333333347999999,2
11,72,0.352,20.666666707999997,7.166666681,2
12,80,0.3,4.500000009,9.666666686,2
13,100,0.38,5.166666676999999,8.500000017,2
