state,estimated_area_ha
AL,16881.94298107369
CA,57846.522124912844
CT,8037.118346332866
DC,82.09204914398397
DE,36431.070889270006
FL,656413.1101981534
GA,189336.02736473928
LA,948837.4806564497
MA,27762.100707792823
MD,110781.39468804511
ME,31292.581667654005
MS,32357.07796118739
NC,132724.29313769797
NH,2948.7650626158115
NJ,96074.10782664348
NY,23368.45171768799
OR,18086.61368920315
PA,643.3429190819857
RI,3418.3803063331366
SC,218312.4761173178
TX,247156.20647798706
VA,117025.71311926054
WA,38785.92474323137
