state,habitat_simplified,mapped_proportion,state_core_proportion
AL,marsh,0.8790071966975308,0.9054054054054054
AL,swamp,0.08948245141415886,0.0945945945945946
AL,scrub/shrub,0.028361272201804965,0
AL,"seagrass, kelp and algal mats",0.0029104477095411568,0
AL,mangrove,2.3863197696425402e-4,0
CA,marsh,0.7784313540153044,0.9280575539568345
CA,"seagrass, kelp and algal mats",0.14034738071207678,0.04316546762589928
CA,scrub/shrub,0.0694080882518493,0
CA,swamp,0.011813177020769583,0.02877697841726619
CT,marsh,0.8427702044294936,0.9333333333333333
CT,swamp,0.11469942625347994,0.06666666666666667
CT,scrub/shrub,0.04006957000625727,0
CT,"seagrass, kelp and algal mats",0.002460799310769255,0
DC,marsh,0.665073615623096,0
DC,swamp,0.3122642379193644,0
DC,scrub/shrub,0.01928066027070514,0
DC,"seagrass, kelp and algal mats",0.0033814861868345673,0
DE,marsh,0.8690919956360961,0.990909090909091
DE,swamp,0.11363071163444305,0.00909090909090909
DE,scrub/shrub,0.01642388848339357,0
DE,"seagrass, kelp and algal mats",8.53404246067374e-4,0
FL,marsh,0.343702552664172,0.28313253012048195
FL,mangrove,0.2869932232597328,0.3463855421686747
FL,"seagrass, kelp and algal mats",0.20030799516944484,0.286144578313253
FL,scrub/shrub,0.1191282763187558,0.07530120481927711
FL,swamp,0.04986795258789459,0.009036144578313253
GA,marsh,0.8300404900836735,0.6142857142857143
GA,swamp,0.14012409764549794,0.37142857142857144
GA,scrub/shrub,0.02885439001252877,0.014285714285714285
GA,mangrove,9.810222582997356e-4,0
LA,marsh,0.8874935906549094,0.9560143626570916
LA,swamp,0.05214789891508011,0.0421903052064632
LA,"seagrass, kelp and algal mats",0.036985449803179256,8.976660682226212e-4
LA,scrub/shrub,0.02337306062683127,0
MA,marsh,0.9219674512461679,0.9322033898305084
MA,swamp,0.0509132316275491,0.06779661016949153
MA,scrub/shrub,0.018873076745498457,0
MA,"seagrass, kelp and algal mats",0.008246240380784623,0
MD,marsh,0.7576075335360074,0.96
MD,swamp,0.21713817649160966,0.04
MD,scrub/shrub,0.024946079779558056,0
MD,"seagrass, kelp and algal mats",3.0821019282484025e-4,0
ME,marsh,0.45602477341704856,1
ME,"seagrass, kelp and algal mats",0.263473091650502,0
ME,swamp,0.24421735754113494,0
ME,scrub/shrub,0.03628477739131449,0
MS,marsh,0.8025127532239734,0.96875
MS,swamp,0.1382090049410999,0.015625
MS,scrub/shrub,0.05710191190452708,0.015625
MS,"seagrass, kelp and algal mats",0.0015220239823525877,0
MS,mangrove,6.543059480470976e-4,0
NC,marsh,0.8079953010483261,0.6346153846153846
NC,scrub/shrub,0.11449542345780701,0
NC,swamp,0.07749463497956724,0.019230769230769232
NC,"seagrass, kelp and algal mats",1.4640514299739491e-5,0.34615384615384615
NH,marsh,0.8918840037193624,1
NH,swamp,0.06531845360240271,0
NH,"seagrass, kelp and algal mats",0.026852514788394174,0
NH,scrub/shrub,0.0159450278898407,0
NJ,marsh,0.8862178660414727,1
NJ,swamp,0.0979948959917939,0
NJ,scrub/shrub,0.015615320770495128,0
NJ,"seagrass, kelp and algal mats",1.719171962382193e-4,0
NY,marsh,0.9136783714975608,1
NY,swamp,0.039934715737468957,0
NY,scrub/shrub,0.03968088040425211,0
NY,"seagrass, kelp and algal mats",0.006706032360718149,0
OR,marsh,0.624128028237885,0.8
OR,scrub/shrub,0.17290451888703548,0.030303030303030304
OR,swamp,0.1388900860252799,0
OR,"seagrass, kelp and algal mats",0.06407736684979959,0.1696969696969697
PA,marsh,0.8179772342073832,0
PA,swamp,0.1461471247857478,0
PA,scrub/shrub,0.035659898265326485,0
PA,"seagrass, kelp and algal mats",2.1574274154243902e-4,0
RI,marsh,0.949084510806447,1
RI,scrub/shrub,0.022294698794135027,0
RI,swamp,0.02100242541508948,0
RI,"seagrass, kelp and algal mats",0.007618364984328445,0
SC,marsh,0.7589596689091456,0.6507936507936508
SC,swamp,0.2048174788158862,0.3333333333333333
SC,scrub/shrub,0.035709339636009516,0.015873015873015872
SC,"seagrass, kelp and algal mats",3.725613332033507e-4,0
SC,mangrove,1.4095130575539103e-4,0
TX,marsh,0.9062738688857627,0.6415094339622641
TX,"seagrass, kelp and algal mats",0.07240672227030329,0.14386792452830188
TX,scrub/shrub,0.010779833295769306,0.014150943396226415
TX,swamp,0.010069658734025643,0.018867924528301886
TX,mangrove,4.699168141391641e-4,0.18160377358490565
VA,marsh,0.7099307601996088,0.7798165137614679
VA,swamp,0.2609869419043822,0.11009174311926606
VA,scrub/shrub,0.02873241763792327,0
VA,"seagrass, kelp and algal mats",3.4988025808566276e-4,0.11009174311926606
WA,"seagrass, kelp and algal mats",0.5450475464319096,0.1357142857142857
WA,marsh,0.27761701331166355,0.8357142857142857
WA,swamp,0.10274639856814431,0.014285714285714285
WA,scrub/shrub,0.07458904168828254,0.014285714285714285
LA,mangrove,0,8.976660682226212e-4
