depth	min	max	median	mean
0	-61	-61	-61	-61
1	-60	-60	-60	-60
2	-59	-59	-59	-59
3	-58	-57	-58	-58
4	-57	-56	-57	-57
5	-56	-55	-56	-56
6	-55	-54	-55	-55
7	-54	-53	-54	-54
8	-54	-51	-52	-52
9	-53	-50	-51	-51
10	-52	-49	-50	-50
11	-51	-48	-49	-49
12	-50	-47	-48	-48
13	-49	-45	-47	-47
14	-48	-44	-46	-46
15	-47	-43	-45	-45
16	-46	-42	-44	-44
17	-46	-41	-43	-43
18	-45	-40	-42	-42
19	-44	-39	-41	-41
20	-43	-37	-40	-40
21	-42	-36	-39	-39
22	-41	-35	-38	-38
23	-40	-34	-37	-37
24	-40	-33	-36	-36
25	-39	-32	-35	-35
26	-38	-31	-34	-34
27	-37	-30	-33	-33
28	-36	-29	-32	-32
29	-36	-27	-31	-31
30	-35	-26	-31	-31
31	-34	-25	-30	-30
32	-33	-24	-29	-29
33	-32	-23	-28	-28
34	-32	-22	-27	-27
35	-31	-21	-26	-26
36	-30	-20	-25	-25
37	-29	-19	-24	-24
38	-29	-18	-23	-23
39	-28	-16	-22	-22
40	-27	-15	-21	-21
41	-27	-14	-20	-20
42	-26	-13	-19	-20
43	-25	-12	-19	-19
44	-25	-11	-18	-18
45	-24	-10	-17	-17
46	-23	-9	-16	-16
47	-23	-8	-15	-15
48	-22	-7	-14	-14
49	-22	-6	-13	-13
50	-21	-5	-13	-13
51	-20	-4	-12	-12
52	-20	-3	-11	-11
53	-19	-1	-10	-10
54	-19	0	-9	-9
55	-18	1	-8	-9
56	-18	2	-8	-8
57	-17	3	-7	-7
58	-17	4	-6	-6
59	-17	5	-5	-5
60	-16	6	-4	-5
61	-16	7	-4	-4
62	-15	8	-3	-3
