labID,depth(cm),density(g/cm^3),210Pb(Bq/kg),sd(210Pb),interval
1,3,1.28,32.72860295,1.5000000029999998,2
2,5,1.3199999999999998,35.9786029565,1.9166666705,2
3,7,1.035,31.395269614,1.833333337,2
4,9,1.155,31.395269614,1.66666667,2
5,11,1.085,29.39526961,1.66666667,2
6,13,0.9450000000000001,23.061936264,0.666666668,2
7,15,1.0550000000000002,28.728602942,1.66666667,2
8,17,1.12,23.728602932,1.000000002,2
9,19,1.1749999999999998,26.228602937,1.000000002,2
10,21,1.1749999999999998,24.561936267,0.833333335,2
11,23,1.23,31.895269615,1.66666667,2
12,25,1.31,29.39526961,1.333333336,2
13,27,1.115,26.728602938,1.166666669,2
