labID,depth(cm),density(g/cm^3),210Pb(Bq/kg),sd(210Pb),interval
1,2,0.01,2542.8166717523,60.5666667878,2
2,4,0.11,775.1666682169999,18.6000000372,2
3,6,0.23,662.7166679920999,15.6000000312,2
4,8,0.25,420.2333341738,21.5666667098,2
5,10,0.3,452.9000009058,9.7666666862,2
6,12,0.4,379.5333340924,18.4666667036,2
7,14,0.36,465.15000093029994,18.433333370200003,2
8,16,0.32,473.2833342798999,10.316666687299998,2
9,18,0.25,370.9166674085,8.6166666839,2
10,20,0.26,504.4500010088999,20.3500000407,2
11,22,0.29,588.8666678444,14.7500000295,2
12,24,0.23,419.0500008381,9.0333333514,2
13,26,0.32,551.6166677699,14.4166666955,2
14,28,0.64,312.0833339575,7.5666666818,2
15,30,0.67,389.3000007786,10.2333333538,2
16,32,0.25,442.1500008843,10.5333333544,2
17,34,0.15,878.4666684235999,46.333333426,2
18,36,0.18,533.8500010677,13.000000026,2
19,38,0.14,558.4166677835,28.1500000563,2
20,40,0.15,607.4666678816,15.5666666978,2
21,42,0.16,617.0500012341,16.4333333662,2
22,44,0.17,500.9833343353,11.733333356799998,2
23,46,0.14,643.6833346207001,17.7333333688,2
24,48,0.15,498.21666766309994,23.650000047299997,2
25,50,0.13,496.4166676595,12.1333333576,2
