labID,depth(cm),density(g/cm^3),210Pb(Bq/kg),sd(210Pb),interval
1,4,0.17,75.56193636900001,6.000000011999999,2
2,8,0.21,100.395269752,6.000000011999999,2
3,12,0.13,114.895269781,6.000000011999999,2
4,16,0.2,68.061936354,6.333333346,2
5,20,0.16,54.228602993,4.666666676,2
6,24,0.12,35.395269622,4.3333333419999995,2
7,28,0.22,45.895269643000006,5.166666676999999,2
8,32,0.21,25.395269602,1.833333337,2
9,36,0.26,19.39526959,0,2
10,40,0.16,37.72860296,3.833333341,2
11,46,0.25,19.39526959,0,2
12,50,0.23,19.39526959,0,2
