labID,depth(cm),density(g/cm^3),210Pb(Bq/kg),sd(210Pb),interval,226Ra(Bq/kg),sd(226Ra)
1,2,0.24,264,142.666619681536,2,20.5,9.34651483180602
2,4,0.27,209,112.94440724788264,2,19.5,8.890587279034994
3,6,0.26,189,102.13632999928144,2,19,8.662623502649481
4,8,0.27,167,90.24744502582011,2,17.5,7.978732173492944
5,10,0.25,139,75.11613687777842,2,17.5,7.978732173492944
6,12,0.26,139,75.11613687777842,2,19.5,8.890587279034994
7,14,0.26,96,51.87877079328581,2,19.5,8.890587279034994
8,16,0.31,108,58.36361714244654,2,21.5,9.802442384577043
9,18,0.32,68,36.74746264524412,2,20,9.118551055420507
10,20,0.3,62,33.50503947066375,2,20,9.118551055420507
11,22,0.26,52,28.10100084636315,2,19,8.662623502649481
12,24,0.28,61,32.96463560823369,2,18,8.206695949878457
13,26,0.42,40,21.616154497202423,2,24.5,11.170225042890122
14,28,0.33,41,22.156558359632484,2,22,10.030406160962558
15,30,0.36,39,21.07575063477236,2,21.5,9.802442384577043
16,32,0.36,37,19.99494290991224,2,23,10.486333713733584
17,34,0.38,33,17.833327460192,2,23.5,10.714297490119096
18,36,0.31,33,17.833327460192,2,21,9.574478608191534
19,38,0.29,29,15.671712010471756,2,21,9.574478608191534
20,40,0.34,32,17.292923597761938,2,24,10.942261266504609
