country,habitat,data_type,tier,n,stock_mean,stock_min,stock_max,habitat_area_ha,habitat_stocks_TgC,habitat_stocks_TgC_min,habitat_stocks_TgC_max,co2_equiv,co2_equiv_min,co2_equiv_max
Angola,mangrove,soil,local,1,68.70920767144605,NA,NA,28720.595713680952,1.9733693753389479,NA,NA,7.242265607493938,NA,NA
Australia,mangrove,soil,local,41,347.72063531397725,169.59443539797348,169.59443539797348,1108321.103910244,385.3861183835587,187.96509185731657,187.96509185731657,1414.3670544676604,689.8318871163518,689.8318871163518
Bangladesh,mangrove,soil,local,2,157.77999999999997,3.2526911934581144,3.2526911934581144,524388.2099106458,82.73797175970168,1.7056729123296228,1.7056729123296228,303.64835635810516,6.259819588249716,6.259819588249716
Belize,mangrove,soil,local,3,519.9281185673337,3.278973953667016,3.278973953667016,56719.1326278458,29.48987191396694,0.1859805585612914,0.1859805585612914,108.22782992425867,0.6825486499199394,0.6825486499199394
Brazil,mangrove,soil,local,6,245.82843237956985,165.27077560466319,165.27077560466319,1169189.015248708,287.4199027740029,193.23277537860636,193.23277537860636,1054.8310431805905,709.1642856394853,709.1642856394853
China,mangrove,soil,local,5,187.43235920248623,112.44898341931541,112.44898341931541,24064.507797415197,4.510467469516156,2.706029438305528,2.706029438305528,16.553415613124294,9.931128038581287,9.931128038581287
Congo DRC,mangrove,soil,local,2,568.9929859312991,0.2263038311070973,0.2263038311070973,24055.543681566964,13.687435627575583,0.005443861694502732,0.005443861694502732,50.23288875320239,0.019978972418825024,0.019978972418825024
Costa Rica,mangrove,soil,local,39,350.16196602564105,82.43367641273011,82.43367641273011,38085.86548621934,13.336221536442673,3.1395579113897716,3.1395579113897716,48.94393303874461,11.522177534800461,11.522177534800461
Cuba,mangrove,soil,local,1,135.95402200395313,NA,NA,410299.8918068596,55.781920518929375,NA,NA,204.7196483044708,NA,NA
Dominican Republic,mangrove,soil,local,8,507.785003125,57.206127440312,57.206127440312,21484.47325282506,10.909493317824753,1.229043514889085,1.229043514889085,40.03784047641684,4.510589699642942,4.510589699642942
Ecuador,mangrove,soil,local,4,338.1435,60.77691327305132,60.77691327305132,152419.90146924573,51.539798952465894,9.263611132683376,9.263611132683376,189.15106215554982,33.99745285694799,33.99745285694799
El Salvador,mangrove,soil,local,24,312.6827979166667,115.02134542123419,115.02134542123419,36752.04131191678,11.49173110655906,4.227269238673449,4.227269238673449,42.17465316107175,15.514078105931556,15.514078105931556
French Guiana,mangrove,soil,local,1,132.23539111363635,NA,NA,64518.18790298514,8.53158781129432,NA,NA,31.310927267450158,NA,NA
Guinea-Bissau,mangrove,soil,local,1,129.62086206343847,NA,NA,283200.61655828817,36.7087080551826,NA,NA,134.72095856252014,NA,NA
Honduras,mangrove,soil,local,15,472.77798666666666,131.26963708929102,131.26963708929102,66827.79085465848,31.594708413646515,8.77245985297006,8.77245985297006,115.9525798780827,32.19492766040012,32.19492766040012
India,mangrove,soil,local,6,113.54752142040554,17.88293697959679,17.88293697959679,452787.078030459,51.41285044154638,8.097162781594472,8.097162781594472,188.68516112047521,29.716587408451712,29.716587408451712
Indonesia,mangrove,soil,local,58,490.90010123953823,170.05354855827022,170.05354855827022,2936406.0824032663,1441.4820431321593,499.3462743207639,499.3462743207639,5290.239098295025,1832.6008267572033,1832.6008267572033
Kenya,mangrove,soil,local,23,519.446130722689,92.54837399355414,92.54837399355414,54681.99226607773,28.40434930282208,5.060729470953596,5.060729470953596,104.24396194135703,18.5728771583997,18.5728771583997
Madagascar,mangrove,soil,local,4,154.724971746875,91.8931621274463,91.8931621274463,301912.95803503745,46.71347390198663,27.743736401090587,27.743736401090587,171.43844922029095,101.81951259200245,101.81951259200245
Malaysia,mangrove,soil,local,1,282.6411387902169,NA,NA,528356.6173545932,149.33531601644913,NA,NA,548.0606097803683,NA,NA
Mexico,mangrove,soil,local,43,338.78799009899654,248.28877119994684,248.28877119994684,1136864.6948854753,385.1561049947591,282.27073811371713,282.27073811371713,1413.522905330766,1035.9336088773418,1035.9336088773418
Micronesia,mangrove,soil,local,55,488.9004452816564,128.9473096646764,128.9473096646764,8534.760645755263,4.172648280082105,1.1005344239020973,1.1005344239020973,15.313619187901324,4.038961335720697,4.038961335720697
Mozambique,mangrove,soil,local,281,155.88250956057433,34.851073833114576,34.851073833114576,331937.4727192859,51.743246264676976,11.56837736971729,11.56837736971729,189.8977137913645,42.45594494686245,42.45594494686245
New Zealand,mangrove,soil,local,8,243.9796888065325,77.03944572037892,77.03944572037892,45546.853054375795,11.112507034323471,3.508904313616659,3.508904313616659,40.78290081596714,12.877678830973139,12.877678830973139
Nigeria,mangrove,soil,local,4,564.8,140.87204596133802,140.87204596133802,851250.4886352002,480.78627598116105,119.91739795962937,119.91739795962937,1764.485632850861,440.09685051183976,440.09685051183976
Palau,mangrove,soil,local,16,536.5547304120377,143.49579682185194,143.49579682185194,5826.751730481021,3.126371203926118,0.8361143824484787,0.8361143824484787,11.473782318408853,3.068539783585917,3.068539783585917
Panama,mangrove,soil,local,11,350.6627181818182,119.06750342520104,119.06750342520104,157123.43814304358,55.09733190931244,18.708295509276205,18.708295509276205,202.20720810717665,68.65944451904367,68.65944451904367
Philippines,mangrove,soil,local,18,156.61829499756655,43.68572223126584,43.68572223126584,293825.90886020544,46.01851287179576,12.835997038816169,12.835997038816169,168.88794223949043,47.10810913245534,47.10810913245534
Puerto Rico,mangrove,soil,local,1,181.68703228101793,NA,NA,9137.061799361827,1.660085642094308,NA,NA,6.09251430648611,NA,NA
Saudi Arabia,mangrove,soil,local,2,301,132.93607486307098,132.93607486307098,8121.957119267931,2.4447090928996476,1.0797010996416543,1.0797010996416543,8.972082370941706,3.962503035684871,3.962503035684871
Singapore,mangrove,soil,local,1,329.7877515,NA,NA,702.1106605959429,0.23154749606211567,NA,NA,0.8497793105479645,NA,NA
Sri Lanka,mangrove,soil,local,1,269.39650186382414,NA,NA,18650.032182513045,5.024253429616755,NA,NA,18.439010086693493,NA,NA
Thailand,mangrove,soil,local,11,308.57546223658983,109.5027707468575,109.5027707468575,258986.5122571811,79.9168827328019,28.3597406782263,28.3597406782263,293.29495962938296,104.08024828909052,104.08024828909052
United States,mangrove,soil,local,38,356.4827019626041,154.88695773542378,154.88695773542378,285523.2532557443,101.78410079376063,44.22382805950317,44.22382805950317,373.5476499131015,162.30144897837664,162.30144897837664
Vietnam,mangrove,soil,local,26,221.88128439718867,100.07561305982595,100.07561305982595,194288.69281249843,43.10902470508799,19.44356004380298,19.44356004380298,158.21012066767292,71.35786536075693,71.35786536075693
American Samoa,mangrove,soil,global,NA,386,55,1376,34.165391798854,0.013187841234357645,0.0018790965489369701,0.047011579115223114,0.04839937733009256,0.00689628433459868,0.17253249535286883
Andaman and Nicobar,mangrove,soil,global,NA,386,55,1376,3284.964472348255,1.2679962863264265,0.18067304597915404,4.520111113951199,4.653546370817985,0.6630700787434953,16.5888077882009
Anguilla,mangrove,soil,global,NA,386,55,1376,3.929296883118,0.0015167085968835479,2.1611132857148998e-4,0.005406712511170368,0.00556632055056262,7.931285758573682e-4,0.01984263491599525
