depth	min	max	median	mean
0	-68	-68	-68	-68
1	-66	-66	-66	-66
2	-65	-64	-65	-65
3	-63	-62	-63	-63
4	-62	-60	-61	-61
5	-60	-58	-59	-59
6	-59	-56	-58	-58
7	-57	-54	-56	-56
8	-56	-53	-54	-54
9	-54	-51	-53	-53
10	-53	-49	-51	-51
11	-51	-47	-50	-50
12	-50	-45	-48	-48
13	-48	-44	-46	-46
14	-47	-42	-45	-45
15	-45	-40	-43	-43
16	-44	-39	-42	-42
17	-43	-37	-40	-40
18	-41	-36	-39	-39
19	-40	-34	-37	-37
20	-38	-33	-36	-36
21	-37	-31	-34	-34
22	-35	-30	-33	-33
23	-34	-28	-31	-31
24	-32	-27	-30	-30
25	-31	-26	-28	-28
26	-30	-24	-27	-27
27	-28	-23	-26	-26
28	-27	-21	-24	-24
29	-25	-20	-23	-23
30	-24	-19	-22	-22
31	-23	-18	-20	-20
32	-21	-16	-19	-19
33	-20	-15	-18	-18
34	-19	-14	-16	-16
35	-18	-12	-15	-15
36	-16	-11	-14	-14
37	-15	-10	-13	-13
38	-14	-8	-11	-11
39	-13	-7	-10	-10
40	-12	-6	-9	-9
41	-11	-4	-8	-8
42	-10	-3	-7	-7
43	-9	-2	-5	-5
44	-8	0	-4	-4
45	-8	1	-3	-3
46	-7	3	-2	-2
47	-6	4	-1	-1
48	-5	5	0	0
49	-5	7	1	1
50	-4	8	2	2
51	-3	10	3	3
52	-3	11	4	4
53	-2	12	5	5
54	-2	14	6	6
55	-1	15	7	7
56	-1	17	8	8
57	0	18	9	9
58	0	20	10	10
59	0	21	11	11
60	1	22	12	12
61	1	24	13	13
62	1	25	13	13
63	1	27	14	14
64	2	28	15	15
