ecosystem,climate_zone,MGeodelSOC1Pb,LowerCIGeodelSOC1Pb,UpperCIGeodelSOC1Pb,pb210_n,MGeodelSOC2Cs,LowerCIGeodelSOC2Cs,UpperCIGeodelSOC2Cs,cs137_n
Estuarine Aquatic Bed,Warm Temperate,0.10177239198219626,0.06773896402432013,0.15290490368378146,6,NA,NA,NA,0
Estuarine Emergent Wetland,Cold Temperate,2.1681868828365123,1.4171536731291885,3.3172368304448256,5,1.4353819566261619,1.034887443791273,1.990865164872458,6
Estuarine Emergent Wetland,Mediterranean,0.7345424279617876,0.6344240889983868,0.8504604220306803,29,0.9892422819085186,0.8622697173025757,1.1349120497666463,35
Estuarine Emergent Wetland,Subtropical,1.5874369274664495,1.1668720485076876,2.1595821083441775,37,2.158655924873065,1.6961788736284553,2.7472311290031466,50
Estuarine Emergent Wetland,Warm Temperate,1.296057906596779,1.1076654282134473,1.5164923039634075,69,1.145608705864083,0.8620179462167434,1.522496501043364,53
Estuarine Emergent Wetland,NA,0.6170183266608467,0.4606578036706904,0.8264521134814202,31,0.417123197386374,0.15934863567527152,1.0918936397572983,3
Estuarine Forested Wetland,Subtropical,0.821131637086542,0.5126115348360636,1.3153374819005126,11,1.0739418298811043,0.295462251517275,3.903547908558943,3
Estuarine Scrub/Shrub Wetland,Subtropical,0.3191554754511089,NA,NA,1,NA,NA,NA,0
Palustrine Emergent Wetland,Cold Temperate,0.925101,NA,NA,1,NA,NA,NA,0
Palustrine Emergent Wetland,Subtropical,0.98,NA,NA,1,1.8396475887401422,1.316956976160904,2.569790290813517,8
Palustrine Emergent Wetland,Warm Temperate,1.544211016298948,1.156265723773236,2.0623180414597235,41,1.4575289189610383,1.2206196964890348,1.7404196865889403,12
Palustrine Forested Wetland,Subtropical,0.7919595949289332,0.5216243363331627,1.202397887355098,2,NA,NA,NA,0
Palustrine Forested Wetland,Warm Temperate,1.7309999999999999,NA,NA,1,1.1470846746113412,0.8375064651941375,1.5710962307893321,6
