labID,depth(cm),density(g/cm^3),210Pb(Bq/kg),sd(210Pb),interval
1,2,0.2,233.83333380099995,39.166666745,2
2,4,0.2,260.00000052,39.333333411999995,2
3,6,0.2,238.66666714399997,37.166666741,2
4,10,0.2,309.16666728499996,47.833333429,2
5,12,0.2,325.166667317,53.666666774,2
6,14,0.2,201.833333737,31.500000062999995,2
7,18,0.22,123.833333581,21.500000042999996,2
8,22,0.3181818181818182,86.166666839,16.333333365999998,2
9,40,0.76,51.500000103,10.500000021,2
10,62,0.45749999999999996,61.500000123,13.500000027,2
11,80,0.21,34.000000068,15.333333364,2
12,100,0.24,28.666666724,14.000000028,2
