depth	min	max	median	mean
0	-66	-66	-66	-66
1	-63	-63	-63	-63
2	-60	-58	-59	-59
3	-58	-56	-57	-57
4	-56	-53	-55	-55
5	-54	-51	-53	-53
6	-53	-49	-51	-51
7	-51	-48	-49	-49
8	-49	-45	-47	-47
9	-48	-44	-46	-46
10	-46	-42	-44	-44
11	-44	-40	-42	-42
12	-42	-37	-40	-40
13	-38	-32	-35	-35
14	-29	-19	-24	-24
15	-20	-6	-14	-13
16	-12	5	-5	-4
17	-8	11	0	0
18	-5	15	4	4
19	-3	19	6	7
20	0	23	10	10
21	3	27	13	14
22	6	32	16	17
23	8	36	20	20
24	11	41	23	24
25	14	44	26	27
26	16	49	29	30
27	19	53	32	33
28	21	58	35	36
29	24	63	39	40
30	27	70	44	45
31	31	77	49	50
32	36	84	55	56
33	41	92	61	63
34	46	99	68	69
35	51	106	74	75
36	55	112	79	81
37	59	119	84	86
38	62	125	89	90
39	66	131	94	95
40	70	137	100	101
41	74	143	105	106
42	78	149	110	111
43	82	155	115	116
44	87	161	120	121
45	91	167	125	126
46	95	173	130	131
