labID,depth(cm),density(g/cm^3),210Pb(Bq/kg),sd(210Pb),interval
1,2,0.36,124.39526979999998,6.66666668,2
2,4,0.21,113.395269778,6.000000011999999,2
3,8,0.18,107.228603099,6.333333346,2
4,10,0.18,78.061936374,6.500000013,2
5,12,0.24,79.895269711,6.66666668,2
6,14,0.18,85.895269723,5.6666666779999995,2
7,16,0.14,75.56193636900001,6.333333346,2
8,22,0.16,81.895269715,6.000000011999999,2
9,24,0.16,48.561936315,4.3333333419999995,2
10,28,0.17,55.061936328,5.333333344,2
11,30,0.18,48.728602982,4.000000008,2
12,32,0.26,47.061936312,3.833333341,2
13,34,0.17,39.728602964,3.33333334,2
14,36,0.19,47.395269646,4.500000009,2
15,38,0.2,45.228602975,4.666666676,2
16,40,0.23,35.728602956,3.166666673,2
