labID,depth(cm),density(g/cm^3),210Pb(Bq/kg),sd(210Pb),interval
1,2,0.04,48.728602982,3.166666673,2
2,4,0.43,40.895269633,2.8333333389999997,2
3,6,0.13,46.228602977,3.833333341,2
4,8,0.19,40.061936298,3.0000000059999996,2
5,10,0.26,58.561936335,4.833333343,2
6,12,0.59,24.3952696,0.666666668,2
7,14,0.18,20.895269593,0.333333334,2
8,18,0.19,27.228602939,1.66666667,2
9,20,0.25,24.228602933,1.333333336,2
10,22,0.19,36.228602957,3.0000000059999996,2
11,24,0.25,33.395269618,3.0000000059999996,2
12,26,0.21,25.728602936,0.833333335,2
13,28,0.22,31.06193628,2.000000004,2
14,30,0.13,24.061936266000004,1.833333337,2
15,32,0.31,19.39526959,0,2
16,34,0.25,22.395269596,1.166666669,2
17,36,0.28,19.39526959,0,2
18,38,0.2,24.3952696,1.333333336,2
19,40,0.29,19.39526959,0,2
20,42,0.43,26.228602937,1.5000000029999998,2
21,44,0.29,19.39526959,0,2
22,46,0.32,19.39526959,0,2
23,48,0.45,19.39526959,0,2
24,50,0.12,19.39526959,0,2
