depth	min	max	median	mean
0	-65	-65	-65	-65
1	-63	-62	-62	-62
2	-61	-61	-61	-61
3	-60	-59	-59	-59
4	-59	-58	-58	-58
5	-57	-56	-57	-57
6	-55	-54	-55	-55
7	-54	-53	-53	-53
8	-52	-51	-52	-52
9	-50	-49	-50	-50
10	-49	-48	-48	-48
11	-47	-46	-47	-47
12	-45	-44	-45	-45
13	-44	-42	-43	-43
14	-42	-40	-41	-41
15	-40	-39	-39	-39
16	-38	-36	-37	-37
17	-36	-34	-35	-35
18	-34	-31	-33	-33
19	-31	-29	-30	-30
20	-29	-27	-28	-28
21	-27	-25	-26	-26
22	-25	-22	-23	-23
23	-22	-19	-21	-21
24	-21	-18	-19	-19
25	-19	-15	-17	-17
26	-17	-13	-15	-15
27	-15	-11	-13	-13
28	-12	-8	-10	-10
29	-9	-5	-7	-7
30	-7	-3	-5	-5
31	-6	-2	-4	-4
32	-5	0	-2	-2
33	-3	1	-1	-1
34	-2	3	0	0
35	-1	4	2	2
36	1	6	3	3
37	2	8	5	5
38	4	9	6	6
39	5	11	8	8
40	6	12	9	9
41	8	14	11	11
42	9	16	13	13
43	11	18	15	15
44	13	21	17	17
45	15	23	19	19
46	17	25	21	21
47	20	29	24	24
48	22	32	27	27
49	24	35	30	30
50	27	38	32	32
51	30	42	36	36
52	33	46	39	39
53	36	51	43	43
54	39	56	47	47
55	42	61	51	51
56	45	67	55	55
57	49	74	60	61
58	53	83	66	67
59	58	92	74	74
60	63	103	81	82
61	67	110	87	87
62	71	117	92	93
63	75	124	97	98
64	78	131	102	103
65	82	138	107	108
66	85	145	112	113
67	89	152	117	118
68	93	158	122	123
69	97	165	128	129
70	100	173	133	134
