source,country,territory
countries,Botswana,Botswana
countries,Burundi,Burundi
countries,Lesotho,Lesotho
countries,Malawi,Malawi
countries,Rwanda,Rwanda
countries,Swaziland,Swaziland
countries,Uganda,Uganda
countries,Zambia,Zambia
countries,Zimbabwe,Zimbabwe
countries,Bolivia,Bolivia
countries,Paraguay,Paraguay
countries,Aruba,Aruba
countries,Andorra,Andorra
countries,Burkina Faso,Burkina Faso
countries,Mali,Mali
countries,Liechtenstein,Liechtenstein
countries,Niger,Niger
countries,Switzerland,Switzerland
countries,Chad,Chad
countries,Hungary,Hungary
countries,San Marino,San Marino
countries,Vatican City,Vatican City
countries,Central African Republic,Central African Republic
countries,Moldova,Moldova
countries,Serbia,Serbia
countries,South Sudan,South Sudan
countries,The Former Yugoslav Republic of Macedonia,The Former Yugoslav Republic of Macedonia
countries,Ukraine,Ukraine
countries,Armenia,Armenia
countries,Ethiopia,Ethiopia
countries,Afghanistan,Afghanistan
countries,Kyrgyzstan,Kyrgyzstan
countries,Tajikistan,Tajikistan
countries,Uzbekistan,Uzbekistan
countries,Bhutan,Bhutan
countries,Laos,Laos
countries,Mongolia,Mongolia
countries,Nepal,Nepal
countries,NA,NA
countries,Belarus,Belarus
countries,Austria,Austria
countries,Czech Republic,Czech Republic
countries,Slovakia,Slovakia
countries,Luxembourg,Luxembourg
