labID,depth(cm),density(g/cm^3),210Pb(Bq/kg),sd(210Pb),interval,226Ra(Bq/kg),sd(226Ra)
1,2,0.14,354.79,8.85,2,74.07,7.01
2,4,0.14,525.38,12.27,2,110.69,9.79
3,6,0.14,472.13,10.89,2,134.47,8.85
4,8,0.14,483.8,11.57,2,135.12,9.71
5,10,0.13,334.14,10.69,2,151.76,9.76
6,12,0.12,380.95,10.32,2,184.24,9.38
7,14,0.13,254.41,8.31,2,163.27,8.78
8,16,0.13,190.54,8.91,2,140.22,10.16
9,18,0.14,119.4,5.98,2,115.86,6.7
10,20,0.14,102.69,6.08,2,77.01,7.5
11,22,0.19,51.82,4.96,2,54.62,5.51
12,24,0.21,38.57,3.99,2,35.25,4.82
13,26,0.25,31.62,3.73,2,42.48,4.59
14,28,0.26,29.4,3.56,2,43.3,4.36
15,30,0.26,23.62,3.43,2,38.62,4.27
16,32,0.27,18.95,3.45,2,42.85,4.45
17,34,0.38,13.06,3.49,2,41.76,3.85
18,36,0.51,18.12,3.61,2,41.43,4.05
19,38,0.48,20.27,3.69,2,49.38,3.84
20,40,0.42,16.82,3.56,2,48.72,3.91
21,42,0.33,23.11,3.54,2,42.53,4.48
