labID,depth(cm),density(g/cm^3),210Pb(Bq/kg),sd(210Pb),interval
1,2,0.097388678,122.75911504918156,66.33949992107388,2
2,4,0.177885712,84.62205097697615,45.73008319471139,2
3,6,0.162663426,76.48469400537023,41.33262405728337,2
4,8,0.169255977,64.72476224037149,34.977511509564096,2
5,10,0.145149308,42.021124211347214,22.70837782746537,2
6,12,0.125230183,41.02071443273797,22.16775251909213,2
7,14,0.115100855,32.7313306572144,17.688137509634114,2
8,16,0.129785551,36.70808159630046,19.83718907703859,2
9,18,0.145403956,48.51247598066277,26.2163293959957,2
10,20,0.171660985,26.93883497539771,14.557850470070928,2
11,22,0.174490406,33.71461433093191,18.219507804775475,2
12,24,0.278358459,23.21244516334144,12.544095022715693,2
