labID,depth(cm),density(g/cm^3),210Pb(Bq/kg),sd(210Pb),interval
1,2,0.29,70.166666807,15.500000031,2
2,4,0.29,87.166666841,15.333333364,2
3,6,0.29,92.666666852,13.500000027,2
4,10,0.29,110.333333554,14.666666695999998,2
5,14,0.29,79.500000159,13.666666694,2
6,18,0.41,64.000000128,9.833333353,2
7,24,0.57,61.66666679,10.666666688,2
8,32,0.7,39.833333413,7.833333348999998,2
9,40,0.83,31.500000062999995,7.000000013999999,2
10,52,0.578,34.833333403,9.333333352,2
11,60,0.41,40.500000081,9.833333353,2
12,72,0.47,26.833333387,7.833333348999998,2
13,80,0.51,22.833333379,8.666666683999999,2
14,92,0.528,30.833333395,7.166666681,2
15,100,0.54,49.166666764999995,10.166666687,2
