depth	min	max	median	mean
0	-65	-65	-65	-65
1	-64	-62	-64	-63
2	-64	-59	-62	-62
3	-63	-56	-61	-60
4	-62	-53	-59	-59
5	-61	-50	-58	-57
6	-61	-47	-56	-56
7	-60	-44	-55	-54
8	-59	-41	-53	-52
9	-58	-38	-52	-51
10	-58	-35	-50	-49
11	-57	-32	-49	-48
12	-56	-29	-47	-46
13	-55	-26	-46	-45
14	-55	-23	-45	-43
15	-54	-20	-43	-42
16	-53	-18	-42	-40
17	-53	-14	-40	-38
18	-52	-11	-39	-37
19	-51	-8	-38	-35
20	-51	-5	-36	-34
21	-50	-2	-35	-32
22	-49	1	-33	-31
23	-48	4	-32	-29
24	-48	7	-31	-28
25	-47	11	-29	-26
26	-46	14	-28	-25
27	-46	16	-27	-23
28	-45	20	-25	-22
29	-44	23	-24	-20
30	-44	26	-23	-19
31	-43	29	-21	-18
32	-43	32	-20	-16
33	-42	35	-19	-15
34	-41	38	-17	-13
35	-41	41	-16	-12
36	-40	44	-15	-10
37	-39	47	-14	-9
38	-39	50	-12	-8
39	-38	53	-11	-6
40	-38	56	-10	-5
41	-37	59	-9	-3
42	-37	62	-7	-2
43	-36	65	-6	-1
44	-35	68	-5	1
45	-35	71	-4	2
46	-34	74	-2	3
47	-34	76	-1	5
48	-33	79	0	6
49	-32	82	1	7
50	-32	85	2	9
51	-31	88	4	10
52	-31	91	5	11
53	-30	94	6	13
54	-30	97	7	14
55	-29	100	8	15
56	-29	103	9	16
57	-28	106	10	18
58	-28	109	12	19
59	-27	112	13	20
60	-27	115	14	21
61	-26	118	15	23
62	-26	121	16	24
63	-25	124	17	25
64	-25	127	18	26
65	-24	130	19	27
66	-24	133	20	29
67	-23	136	21	30
68	-23	139	22	31
69	-23	142	23	32
70	-22	144	24	33
71	-22	147	26	35
72	-21	150	26	36
73	-21	153	27	37
74	-20	156	28	38
75	-20	159	29	39
76	-20	162	30	40
77	-19	165	31	41
78	-19	168	32	42
79	-18	171	33	43
80	-18	173	34	45
81	-18	176	35	46
82	-17	179	36	47
83	-17	183	37	48
84	-17	186	38	49
85	-17	189	39	50
86	-16	192	40	51
87	-16	195	41	52
88	-16	198	42	53
89	-15	201	43	54
90	-15	205	44	55
91	-15	207	45	56
92	-15	210	45	57
93	-14	213	46	58
94	-14	217	47	59
95	-14	220	48	60
96	-13	223	49	61
97	-13	226	50	62
98	-13	229	51	63
99	-13	233	51	64
100	-12	236	52	64
