labID,depth(cm),density(g/cm^3),210Pb(Bq/kg),sd(210Pb),interval,226Ra(Bq/kg),sd(226Ra)
1,5,0.22858600380281036,170.500000341,9.000000018,5,17.000000034,1.333333336
2,7,0.24,108.33333355,6.1666666789999995,2,18.500000037,1.66666667
3,9,0.32,170.500000341,7.500000015,2,19.000000038,1.833333337
4,11,0.38,78.500000157,4.166666675,2,18.833333371,1.66666667
5,13,0.44,41.500000083,3.166666673,2,22.166666711,1.66666667
6,15,0.51,43.666666754,2.8333333389999997,2,22.333333378,1.66666667
7,17,0.49,41.000000082,2.666666672,2,23.33333338,1.5000000029999998
8,19,0.39,54.500000109,3.833333341,2,21.333333376,1.833333337
9,21,0.37,26.500000053,2.666666672,2,20.000000039999996,1.833333337
10,23,0.52,21.166666709,2.333333338,2,20.500000041,1.66666667
11,25,0.64,15.500000031,2.000000004,2,24.500000049,1.66666667
12,37,0.30664427025009333,11.66666669,2.166666671,2,21.833333377,1.66666667
13,47,0.32694348633589815,10.666666688,2.000000004,2,25.000000049999997,1.833333337
