country,territory,marsh_area_m2,mangrove_area_m2,total_area_m2
Netherlands,Curacao,0,784516.5415019912,784516.5415019912
United Kingdom,British Virgin Islands,0,774118.8000193877,774118.8000193877
Aruba,Aruba,0,732566.207376637,732566.207376637
Saint Kitts and Nevis,Saint Kitts and Nevis,0,519068.65802959364,519068.65802959364
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,0,465376.29007352935,465376.29007352935
Barbados,Barbados,0,348950.23791503906,348950.23791503906
United States,Guam,0,310067.8418571921,310067.8418571921
Disputed,Overlapping claim Western Saharan Exclusive Economic Zone,291186.7938227635,0,291186.7938227635
Netherlands,Aruba,0,275383.7394734701,275383.7394734701
United States,Northern Mariana Islands,0,271459.9829063266,271459.9829063266
Disputed,Overlapping claim Kuril Islands: Japan / Russia,245682.30336674704,0,245682.30336674704
Mauritius,Mauritius,0,225732.17227663525,225732.17227663525
France,Réunion,210634.76586914065,0,210634.76586914065
Disputed,Overlapping claim Falkland / Malvinas Islands: UK / Argentina,204001.83794950604,0,204001.83794950604
Kiribati,Kiribati,0,178234.7323120117,178234.7323120117
France,Wallis and Futuna,0,175620.07294084138,175620.07294084138
France,Saint Martin,0,151918.69620433135,151918.69620433135
Spain,Canarias,127116.02993092255,0,127116.02993092255
Syria,Syria,121651.78649902344,0,121651.78649902344
Israel,Israel,91826.45513916016,0,91826.45513916016
United Kingdom,Anguilla,0,49637.87585449219,49637.87585449219
Disputed,Overlapping claim Mayotte: France / Comoros,0,41360.97905871821,41360.97905871821
France,Saint Barthelemy,0,29658.12481689453,29658.12481689453
Nauru,Nauru,0,25634.455200195312,25634.455200195312
France,French Polynesia,0,16588.104064941406,16588.104064941406
Marshall Islands,Marshall Islands,0,11840.14306640625,11840.14306640625
Disputed,Overlapping claim: Sudan / Egypt,0,7613.146752690335,7613.146752690335
Netherlands,Sint Maarten,0,591.3104985255821,591.3104985255821
