country,territory,marsh_area_m2,mangrove_area_m2,total_area_m2
Indonesia,Indonesia,191850253.13539344,26900260297.022198,27092110550.157593
United States,United States,19855930680.46005,2348733798.6244245,22204664479.084473
Australia,Australia,2276457763.116497,9575443571.694721,11851901334.811218
Brazil,Brazil,1166359934.145346,10526489297.948408,11692849232.093754
Canada,Canada,9089256603.220974,0,9089256603.220974
Mexico,Mexico,1185001385.6099339,7267708387.184089,8452709772.794023
Nigeria,Nigeria,20445350.053831328,6959953890.766171,6980399240.820003
Malaysia,Malaysia,4129726.0827655867,5574902433.511058,5579032159.593823
Russian Federation,Russian Federation,5515665872.021695,0,5515665872.021695
Myanmar,Myanmar,132559633.48038256,5056379077.341638,5188938710.822021
Cuba,Cuba,712186616.25589,4265388214.1912236,4977574830.447114
Papua New Guinea,Papua New Guinea,59212880.25763418,4713313072.834024,4772525953.091659
Bangladesh,Bangladesh,221925753.4635168,4437794144.964575,4659719898.428092
Mozambique,Mozambique,1374051177.4871314,3184854459.116783,4558905636.603914
India,India,56085741.1902339,3828231467.152802,3884317208.3430357
Guinea-Bissau,Guinea-Bissau,66946526.50764567,3477229319.632767,3544175846.140413
Venezuela,Venezuela,139897979.33806127,3356191674.012008,3496089653.3500695
Madagascar,Madagascar,162854418.38321027,2715030303.4042263,2877884721.7874365
Philippines,Philippines,7606359.9042186085,2579657683.4919767,2587264043.3961954
Argentina,Argentina,2578321464.354581,0,2578321464.354581
Thailand,Thailand,19246419.96351534,2476991572.002374,2496237991.9658895
Guinea,Guinea,3090077.812269981,2447096867.624126,2450186945.436396
Colombia,Colombia,48739805.242627196,2127346250.8383405,2176086056.080968
Vietnam,Vietnam,13535228.32490378,2117765272.086419,2131300500.4113228
Cameroon,Cameroon,0,2013796215.6762745,2013796215.6762745
Sierra Leone,Sierra Leone,19646038.187746294,1583189343.6074057,1602835381.795152
Panama,Panama,2691497.1546728993,1527691775.2702065,1530383272.4248793
Senegal,Senegal,55410790.86146145,1409241625.9040241,1464652416.7654855
Gabon,Gabon,38935000.77814223,1376848661.1984036,1415783661.9765458
Nicaragua,Nicaragua,599871039.5687817,733419145.0607294,1333290184.629511
Ecuador,Ecuador,1068320.59069537,1287512498.8177583,1288580819.4084537
China,China,1255432462.8738983,0,1255432462.8738983
Honduras,Honduras,424865893.3654929,666482311.3532591,1091348204.718752
Ukraine,Ukraine,952609964.49714,0,952609964.49714
Bahamas,Bahamas,130606949.34677733,807809593.9138957,938416543.260673
Tanzania,Tanzania,5316856.545706476,931242706.0454408,936559562.5911473
Fiji,Fiji,0,885297496.746365,885297496.746365
France,French Guiana,5373480.280409869,876693378.2501634,882066858.5305732
Suriname,Suriname,43692646.49773931,745559797.0688015,789252443.5665408
Gambia,Gambia,33655727.744598985,706133623.6277326,739789351.3723316
France,France,732633594.2740669,0,732633594.2740669
Romania,Romania,684578816.2529433,0,684578816.2529433
Belize,Belize,68466359.64541827,567766984.1533214,636233343.7987397
New Zealand,New Zealand,269035833.4816478,312993069.19661283,582028902.6782606
United Kingdom,United Kingdom,577903794.8999436,0,577903794.8999436
Pakistan,Pakistan,2161152.7682291665,505801543.60511017,507962696.37333935
Chile,Chile,495543609.6252688,0,495543609.6252688
Cambodia,Cambodia,17225838.751591224,473871347.6722262,491097186.4238174
Solomon Islands,Solomon Islands,0,461787958.61109513,461787958.61109513
Costa Rica,Costa Rica,15823950.128504612,387943958.213998,403767908.34250265
Germany,Germany,376604483.3369653,0,376604483.3369653
Spain,Spain,367390361.4966135,0,367390361.4966135
Guatemala,Guatemala,13171343.201917702,345623259.37338614,358794602.57530385
El Salvador,El Salvador,3952587.894104004,335948079.7582847,339900667.6523887
Kenya,Kenya,1741696.4630126953,320270063.11605227,322011759.57906497
Uruguay,Uruguay,308300871.88483614,0,308300871.88483614
Estonia,Estonia,296103268.5709311,0,296103268.5709311
Denmark,Denmark,293522643.02393633,0,293522643.02393633
Angola,Angola,18288697.11518363,268616213.5263579,286904910.64154154
Japan,Japan,279552274.6302309,0,279552274.6302309
Turkey,Turkey,270655394.5158926,0,270655394.5158926
Italy,Italy,254132401.12250164,0,254132401.12250164
France,New Caledonia,1583475.7798461914,242899937.21358112,244483412.9934273
Guyana,Guyana,37404952.860368796,203599011.9306479,241003964.7910167
Greece,Greece,230682103.64440754,0,230682103.64440754
Sri Lanka,Sri Lanka,6577009.404641305,217078838.96971413,223655848.37435544
Democratic Republic of the Congo,Democratic Republic of the Congo,2540055.2694544173,204251481.04235965,206791536.31181407
Netherlands,Netherlands,200018048.52331856,0,200018048.52331856
Dominican Republic,Dominican Republic,18844719.00220995,179921489.65329015,198766208.6555001
South Korea,South Korea,193470536.74903446,0,193470536.74903446
Egypt,Egypt,189723526.11913466,1741270.2992185105,191464796.41835317
Haiti,Haiti,40220420.10170588,145721190.61233842,185941610.7140443
Poland,Poland,177266890.9170813,0,177266890.9170813
Latvia,Latvia,173861773.217883,0,173861773.217883
United Kingdom,Turks and Caicos Islands,434397.96520996094,171014482.27583247,171448880.24104244
Portugal,Portugal,171136474.22986734,0,171136474.22986734
Ghana,Ghana,18485654.18686284,133105310.28390291,151590964.47076577
Ireland,Ireland,149334811.03135866,0,149334811.03135866
Iran,Iran,13010902.43296377,120683948.1635235,133694850.59648727
Sweden,Sweden,133032317.93345994,0,133032317.93345994
Equatorial Guinea,Equatorial Guinea,270925.28076171875,126737253.28361337,127008178.56437509
United Arab Emirates,United Arab Emirates,6957945.543406048,119039375.65825048,125997321.20165654
Jamaica,Jamaica,21950425.017944336,95640809.60732879,117591234.62527312
South Africa,South Africa,98659862.668492,13527772.766907219,112187635.43539922
Brunei,Brunei,383265.2387084961,108971365.7837789,109354631.0224874
Benin,Benin,53335260.96280374,51619480.497151226,104954741.45995496
Micronesia,Micronesia,0,94064078.35127808,94064078.35127808
North Korea,North Korea,88116763.09848729,0,88116763.09848729
Albania,Albania,85904655.95664543,0,85904655.95664543
United States,Puerto Rico,2660184.092590332,82943386.00921775,85603570.10180809
Saudi Arabia,Saudi Arabia,1435655.607785453,81046064.0981888,82481719.70597425
Liberia,Liberia,577490.4014282227,78053093.61820498,78630584.0196332
United Kingdom,Cayman Islands,679164.5802298752,75452211.62515844,76131376.20538832
Georgia,Georgia,69167067.12381111,0,69167067.12381111
Trinidad and Tobago,Trinidad and Tobago,691976.2915649414,63239436.454463474,63931412.746028416
Tunisia,Tunisia,58453756.279153995,0,58453756.279153995
Palau,Palau,0,56120480.897537805,56120480.897537805
Eritrea,Eritrea,0,54962883.09518346,54962883.09518346
Croatia,Croatia,54358814.62294108,0,54358814.62294108
Peru,Peru,11302988.633622952,41522855.163136706,52825843.79675966
Morocco,Morocco,46097411.28295157,0,46097411.28295157
Lithuania,Lithuania,41997550.16810253,0,41997550.16810253
Mauritania,Mauritania,31149235.297815654,265798.6772432215,31415033.975058876
France,Guadeloupe,0,30007388.82327642,30007388.82327642
Algeria,Algeria,28970361.866119742,0,28970361.866119742
Montenegro,Montenegro,28858102.80745299,0,28858102.80745299
Disputed,Overlapping claim Ukrainian Exclusive Economic Zone,26243219.742324166,0,26243219.742324166
Somalia,Somalia,318792.226831294,24678003.87308182,24996796.099913113
Côte d'Ivoire,Côte d'Ivoire,3004633.4965557028,19892327.155709773,22896960.652265474
Bulgaria,Bulgaria,21171241.024639294,0,21171241.024639294
Vanuatu,Vanuatu,149247.5079345703,13535042.232777316,13684289.740711886
Seychelles,Seychelles,0,10897806.735122502,10897806.735122502
France,Martinique,0,10761296.096507354,10761296.096507354
Yemen,Yemen,0,10728455.38468233,10728455.38468233
Timor-Leste,Timor-Leste,340966.39807128906,10135807.087431304,10476773.485502593
Antigua and Barbuda,Antigua and Barbuda,436283.4771728515,9218812.352540737,9655095.829713589
Finland,Finland,9190940.333659213,0,9190940.333659213
Tonga,Tonga,107706.21923828124,7922293.661206541,8029999.880444822
United Kingdom,Falkland Islands,7344327.710434618,0,7344327.710434618
Togo,Togo,5676404.5798950195,1440890.219665527,7117294.799560547
Belgium,Belgium,6805881.743058026,0,6805881.743058026
Bosnia and Herzegovina,Bosnia and Herzegovina,6362995.038603181,0,6362995.038603181
Singapore,Singapore,0,5807095.356470441,5807095.356470441
France,French Southern Territories,0,5708453.322627287,5708453.322627287
Congo,Congo,2036822.9158325195,3536036.65238827,5572859.56822079
Norway,Norway,5553789.903934734,0,5553789.903934734
Djibouti,Djibouti,0,5335000.753703997,5335000.753703997
France,Mayotte,0,4990025.809364469,4990025.809364469
Qatar,Qatar,720222.8556774664,3841240.3226301605,4561463.178307626
Namibia,Namibia,4465636.270016898,0,4465636.270016898
Samoa,Samoa,0,3792056.281187048,3792056.281187048
Sudan,Sudan,0,3521465.2183612892,3521465.2183612892
Cyprus,Cyprus,3249966.7182617188,0,3249966.7182617188
Oman,Oman,825763.0041503906,2320646.71155599,3146409.7157063805
France,Saint Pierre and Miquelon,2728277.2579807644,0,2728277.2579807644
Libya,Libya,2319130.986406154,0,2319130.986406154
Netherlands,Bonaire,0,2191730.5991881127,2191730.5991881127
Grenada,Grenada,0,2102329.431670544,2102329.431670544
United States,US Virgin Islands,0,1859726.1136141908,1859726.1136141908
Iraq,Iraq,1797150.6682052314,0,1797150.6682052314
Slovenia,Slovenia,1395310.7912657496,0,1395310.7912657496
Saint Lucia,Saint Lucia,0,1391607.4779770793,1391607.4779770793
Comoros,Comoros,150811.91412353516,1089654.2810759898,1240466.195199525
Kuwait,Kuwait,1003019.38261623,0,1003019.38261623
Maldives,Maldives,0,858724.580721268,858724.580721268
Bahrain,Bahrain,0,841291.9578515147,841291.9578515147
