labID,depth(cm),density(g/cm^3),210Pb(Bq/kg),sd(210Pb),interval
1,3,0.07,163.000000326,13.500000027,3
2,6,0.1,113.833333561,10.333333354,3
3,9,0.08,154.83333364299995,8.666666683999999,3
4,12,0.1,153.833333641,11.166666689,3
5,15,0.09,125.00000025,8.166666682999999,3
6,18,0.09,117.000000234,8.833333351,3
7,21,0.08,107.500000215,9.666666686,3
8,24,0.1,106.333333546,5.333333344,3
9,27,0.08,94.666666856,8.33333335,3
10,30,0.08,101.66666687,7.833333348999998,3
11,33,0.07,83.50000016699998,7.166666681,3
12,36,0.1,85.666666838,7.166666681,3
13,39,0.14,68.66666680399999,7.500000015,3
14,42,0.15,74.666666816,7.833333348999998,3
15,48,0.18,70.166666807,7.166666681,3
16,54,0.22,61.166666789,5.500000011,3
17,60,0.23,59.000000118,4.3333333419999995,3
