depth	min	max	median	mean
0	-60	-60	-60	-60
1	-60	-59	-59	-59
2	-59	-58	-59	-59
3	-58	-57	-58	-58
4	-58	-56	-57	-57
5	-57	-55	-56	-56
6	-57	-55	-56	-56
7	-56	-54	-55	-55
8	-56	-53	-55	-55
9	-55	-52	-54	-54
10	-54	-52	-53	-53
11	-54	-51	-52	-52
12	-53	-49	-51	-51
13	-52	-48	-50	-50
14	-51	-47	-49	-49
15	-50	-45	-48	-48
16	-49	-44	-47	-47
17	-48	-43	-45	-45
18	-47	-41	-44	-44
19	-45	-39	-42	-42
20	-44	-37	-41	-41
21	-43	-35	-39	-39
22	-42	-34	-38	-38
23	-41	-33	-37	-37
24	-40	-32	-37	-37
25	-40	-31	-36	-36
26	-39	-30	-35	-35
27	-38	-28	-34	-33
28	-36	-26	-32	-32
29	-35	-23	-30	-30
30	-33	-20	-28	-28
31	-32	-17	-26	-26
32	-30	-15	-24	-24
33	-29	-13	-23	-22
34	-28	-11	-22	-21
35	-27	-9	-20	-20
36	-26	-7	-19	-18
37	-25	-5	-17	-17
38	-23	-2	-15	-15
39	-22	2	-13	-12
40	-20	4	-11	-10
41	-19	8	-9	-8
42	-17	11	-7	-6
43	-16	15	-5	-4
44	-14	19	-2	-1
45	-12	23	0	1
46	-10	28	3	4
47	-8	33	7	8
48	-5	39	11	12
49	-2	45	15	17
50	1	51	21	22
51	5	59	26	27
52	8	66	32	33
53	12	74	39	40
54	16	82	46	46
55	20	91	52	52
