depth	min	max	median	mean
0	-60	-60	-60	-60
1	-59	-58	-58	-58
2	-57	-56	-57	-57
3	-56	-54	-55	-55
4	-54	-52	-53	-53
5	-53	-50	-51	-51
6	-52	-48	-50	-50
7	-50	-46	-48	-48
8	-49	-44	-47	-47
9	-48	-42	-45	-45
10	-46	-40	-43	-43
11	-45	-38	-42	-42
12	-44	-36	-40	-40
13	-42	-34	-39	-39
14	-41	-33	-37	-37
15	-40	-31	-36	-36
16	-39	-29	-34	-34
17	-38	-27	-33	-33
18	-36	-25	-31	-31
19	-35	-24	-30	-30
20	-34	-22	-28	-28
21	-33	-20	-27	-27
22	-32	-19	-26	-25
23	-31	-17	-24	-24
24	-30	-15	-23	-23
25	-29	-13	-21	-21
26	-27	-12	-20	-20
27	-26	-10	-19	-19
28	-25	-8	-17	-17
29	-24	-7	-16	-16
30	-23	-5	-15	-15
31	-23	-3	-14	-13
32	-22	-2	-12	-12
33	-21	0	-11	-11
34	-20	1	-10	-10
35	-19	3	-9	-8
36	-18	5	-7	-7
37	-17	6	-6	-6
38	-17	8	-5	-5
39	-16	9	-4	-4
40	-15	11	-3	-3
41	-15	12	-2	-2
42	-14	14	-1	0
43	-13	15	0	1
44	-13	17	1	2
45	-12	18	2	3
46	-11	20	3	4
47	-11	21	4	5
48	-10	23	5	6
49	-10	24	6	7
50	-10	26	7	7
