country,territory,seagrass_area_m2
Albania,Albania,44060000
Algeria,Algeria,40560000
Angola,Angola,596670000
Antigua and Barbuda,Antigua and Barbuda,251010000
Argentina,Argentina,1000000
Australia,Australia,83012980000
Bahamas,Bahamas,2250510000
Bahrain,Bahrain,365980000
Barbados,Barbados,90170000
Belize,Belize,4847840000
Benin,Benin,1363970000
Brazil,Brazil,429340000
Bulgaria,Bulgaria,2950000
Cabo Verde,Cabo Verde,20
Cambodia,Cambodia,338140000
Canada,Canada,645000000
Chile,Chile,2000000
China,China,91454000
Colombia,Colombia,433520000
Comoros,Comoros,21310000
Costa Rica,Costa Rica,160000
Croatia,Croatia,299660000
Cuba,Cuba,16073000000
Cyprus,Cyprus,70040000
Denmark,Denmark,1345000000
Dominica,Dominica,2650000
Dominican Republic,Dominican Republic,460200000
Egypt,Egypt,2202620000
Eritrea,Eritrea,3130000
Estonia,Estonia,155000000
Fiji,Fiji,38360000
Finland,Finland,30000000
France,France,1038970000
France,French Polynesia,28700000
France,Guadeloupe,82000000
France,Martinique,41000000
France,Mayotte,1275260000
France,New Caledonia,936000000
France,Saint Barthelemy;Saint Maarten,65260000.00000001
France,Wallis and Futuna,24300000
Germany,Germany,163300000
Ghana,Ghana,2732590000
Greece,Greece,411410000
Grenada,Grenada,7090000
Guatemala,Guatemala,4810000
Guinea,Guinea,12900660000
Guinea-Bissau,Guinea-Bissau,15397140000
Haiti,Haiti,612270000
Honduras,Honduras,2739120000
Iceland,Iceland,5000000
India,India,516590000.00000006
Indonesia,Indonesia,2934640000
Iran,Iran,2714340000
Ireland,Ireland,17100000
Italy,Italy,9030580000
Jamaica,Jamaica,781160000
Japan,Japan,474570000
Jordan,Jordan,1370000
Kenya,Kenya,113220000
Kiribati,Kiribati,277860000
Kuwait,Kuwait,50000000
Libya,Libya,11550000
Madagascar,Madagascar,5793460000
Malaysia,Malaysia,8920000
Maldives,Maldives,2378990000
Malta,Malta,70560000
Marshall Islands,Marshall Islands,510700000
Mauritius,Mauritius,30000000
Mexico,Mexico,9577380000
Micronesia,Micronesia,48690000
Mozambique,Mozambique,727949999.9999998
Myanmar,Myanmar,4260000
Netherlands,Curacao,8000000
Netherlands,Netherlands,2760000
Netherlands,Sint Maarten,27340000
New Zealand,New Zealand,294000000
Nicaragua,Nicaragua,5565560000
Nigeria,Nigeria,8876870000
Norway,Norway,66370000.00000001
Palau,Palau,79980000
Palestinian Territory,Palestinian Territory,17450000
Panama,Panama,1802120000
Papua New Guinea,Papua New Guinea,117200000
Philippines,Philippines,978000000
Poland,Poland,2650000
Portugal,Portugal,16910000
Qatar,Qatar,1323750000
Russian Federation,Russian Federation,492200000.00000006
Saint Kitts and Nevis,Saint Kitts and Nevis,60420000
Saint Lucia,Saint Lucia,6650000
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,3200000
Samoa,Samoa,734120000
Saudi Arabia,Saudi Arabia,370000000
Senegal,Senegal,1490780000
Sierra Leone,Sierra Leone,4445620000
Singapore,Singapore,337000
Slovenia,Slovenia,80000
Solomon Islands,Solomon Islands,78959999.99999999
South Africa,South Africa,381030000
South Korea,South Korea,70000000
Spain,Spain,2759310000
Sri Lanka,Sri Lanka,1404060000
Sudan,Sudan,4424630000
Sweden,Sweden,18250000
Tanzania,Tanzania,46070000
Thailand,Thailand,255730000
Timor-Leste,Timor-Leste,42660000
Togo,Togo,188890000
Tonga,Tonga,2991520000
Trinidad and Tobago,Trinidad and Tobago,1120000
Tunisia,Tunisia,5000620000
Turkey,Turkey,2310000
Ukraine,Ukraine,5861580000
United Arab Emirates,United Arab Emirates,1026369999.9999999
United Kingdom,Anguilla,13700000
United Kingdom,Bermuda,16250000
United Kingdom,British Virgin Islands,39910000
United Kingdom,Cayman Islands,63900000
United Kingdom,Montserrat,13070000
United Kingdom,Turks and Caicos Islands,489120000
United Kingdom,United Kingdom,131580000.00000001
United States,American Samoa,381140000
United States,Guam,3070000
United States,Northern Mariana Islands,6700000
United States,Puerto Rico,603920000
United States,US Virgin Islands,84090000
United States,United States,14422380000
United States,United States Minor Outlying Islands,487160000
Vanuatu,Vanuatu,1100440000
Venezuela,Venezuela,1272420000
Vietnam,Vietnam,157450000
Yemen,Yemen,5354260000
‎Netherlands,Bonaire;Saint Eustatius;Saba,3820000
