territory,ecosystem,hectare
Cabo Verde,mangrove,NA
Cabo Verde,marsh,NA
Cabo Verde,seagrass,0.02
Cabo Verde,total,0.02
Nauru,mangrove,25.634455200195312
Nauru,marsh,0
Nauru,seagrass,NA
Nauru,total,25.634455200195312
Saint Barthelemy,mangrove,29.65812481689453
Saint Barthelemy,marsh,0
Saint Barthelemy,seagrass,NA
Saint Barthelemy,total,29.65812481689453
Israel,mangrove,0
Israel,marsh,91.82645513916016
Israel,seagrass,NA
Israel,total,91.82645513916016
Syria,mangrove,0
Syria,marsh,121.65178649902344
Syria,seagrass,NA
Syria,total,121.65178649902344
Canarias,mangrove,0
Canarias,marsh,127.11602993092256
Canarias,seagrass,NA
Canarias,total,127.11602993092256
Saint Martin,mangrove,151.91869620433135
Saint Martin,marsh,0
Saint Martin,seagrass,NA
Saint Martin,total,151.91869620433135
Réunion,mangrove,0
Réunion,marsh,210.63476586914067
Réunion,seagrass,NA
Réunion,total,210.63476586914067
Aruba,mangrove,732.5662073766371
Aruba,marsh,0
Aruba,seagrass,NA
Aruba,total,732.5662073766371
Jordan,mangrove,NA
Jordan,marsh,NA
Jordan,seagrass,1370
Jordan,total,1370
Slovenia,mangrove,0
Slovenia,marsh,1395.3107912657497
Slovenia,seagrass,80
Slovenia,total,1475.3107912657497
Iraq,mangrove,0
Iraq,marsh,1797.1506682052316
Iraq,seagrass,NA
Iraq,total,1797.1506682052316
Bonaire,mangrove,2191.7305991881126
Bonaire,marsh,0
Bonaire,seagrass,NA
Bonaire,total,2191.7305991881126
Dominica,mangrove,NA
Dominica,marsh,NA
Dominica,seagrass,2650
Dominica,total,2650
Saint Pierre and Miquelon,mangrove,0
Saint Pierre and Miquelon,marsh,2728.2772579807643
Saint Pierre and Miquelon,seagrass,NA
Saint Pierre and Miquelon,total,2728.2772579807643
Oman,mangrove,2320.64671155599
Oman,marsh,825.7630041503907
Oman,seagrass,NA
Oman,total,3146.4097157063807
Guam,mangrove,310.0678418571921
Guam,marsh,0
Guam,seagrass,3070
Guam,total,3380.067841857192
Saint Vincent and the Grenadines,mangrove,465.37629007352933
Saint Vincent and the Grenadines,marsh,0
Saint Vincent and the Grenadines,seagrass,3200
Saint Vincent and the Grenadines,total,3665.3762900735296
Namibia,mangrove,0
Namibia,marsh,4465.636270016898
Namibia,seagrass,NA
Namibia,total,4465.636270016898
Iceland,mangrove,NA
Iceland,marsh,NA
Iceland,seagrass,5000
Iceland,total,5000
Djibouti,mangrove,5335.000753703996
Djibouti,marsh,0
Djibouti,seagrass,NA
Djibouti,total,5335.000753703996
Congo,mangrove,3536.03665238827
Congo,marsh,2036.8229158325196
Congo,seagrass,NA
Congo,total,5572.85956822079
French Southern Territories,mangrove,5708.453322627288
French Southern Territories,marsh,0
French Southern Territories,seagrass,NA
French Southern Territories,total,5708.453322627288
Singapore,mangrove,5807.095356470441
Singapore,marsh,0
Singapore,seagrass,337
Singapore,total,6144.095356470441
Bosnia and Herzegovina,mangrove,0
Bosnia and Herzegovina,marsh,6362.9950386031815
Bosnia and Herzegovina,seagrass,NA
Bosnia and Herzegovina,total,6362.9950386031815
Belgium,mangrove,0
Belgium,marsh,6805.881743058026
Belgium,seagrass,NA
Belgium,total,6805.881743058026
Northern Mariana Islands,mangrove,271.4599829063266
Northern Mariana Islands,marsh,0
Northern Mariana Islands,seagrass,6700
Northern Mariana Islands,total,6971.459982906327
Falkland Islands,mangrove,0
Falkland Islands,marsh,7344.327710434619
Falkland Islands,seagrass,NA
Falkland Islands,total,7344.327710434619
Saint Lucia,mangrove,1391.607477977079
Saint Lucia,marsh,0
Saint Lucia,seagrass,6650
Saint Lucia,total,8041.60747797708
Curacao,mangrove,784.5165415019912
Curacao,marsh,0
Curacao,seagrass,8000
Curacao,total,8784.516541501991
Grenada,mangrove,2102.329431670544
Grenada,marsh,0
Grenada,seagrass,7090
Grenada,total,9192.329431670545
Seychelles,mangrove,10897.806735122502
Seychelles,marsh,0
Seychelles,seagrass,NA
Seychelles,total,10897.806735122502
Montserrat,mangrove,NA
Montserrat,marsh,NA
Montserrat,seagrass,13070
Montserrat,total,13070
Anguilla,mangrove,49.63787585449219
Anguilla,marsh,0
Anguilla,seagrass,13700
Anguilla,total,13749.637875854492
Libya,mangrove,0
Libya,marsh,2319.130986406154
Libya,seagrass,11550
Libya,total,13869.130986406155
Bermuda,mangrove,NA
Bermuda,marsh,NA
Bermuda,seagrass,16250
Bermuda,total,16250
Palestinian Territory,mangrove,NA
Palestinian Territory,marsh,NA
Palestinian Territory,seagrass,17450
Palestinian Territory,total,17450
Comoros,mangrove,1089.65428107599
Comoros,marsh,150.81191412353516
Comoros,seagrass,21310
Comoros,total,22550.466195199526
Côte d'Ivoire,mangrove,19892.327155709772
Côte d'Ivoire,marsh,3004.633496555703
Côte d'Ivoire,seagrass,NA
Côte d'Ivoire,total,22896.960652265476
Bulgaria,mangrove,0
Bulgaria,marsh,21171.241024639297
Bulgaria,seagrass,2950
Bulgaria,total,24121.241024639297
Wallis and Futuna,mangrove,175.62007294084137
Wallis and Futuna,marsh,0
Wallis and Futuna,seagrass,24300
Wallis and Futuna,total,24475.62007294084
Somalia,mangrove,24678.00387308182
Somalia,marsh,318.79222683129404
Somalia,seagrass,NA
Somalia,total,24996.796099913114
Sint Maarten,mangrove,0.5913104985255822
Sint Maarten,marsh,0
Sint Maarten,seagrass,27340
Sint Maarten,total,27340.591310498527
French Polynesia,mangrove,16.588104064941408
French Polynesia,marsh,0
French Polynesia,seagrass,28700
French Polynesia,total,28716.588104064944
Montenegro,mangrove,0
Montenegro,marsh,28858.102807452993
Montenegro,seagrass,NA
Montenegro,total,28858.102807452993
Mauritius,mangrove,225.73217227663525
Mauritius,marsh,0
Mauritius,seagrass,30000
Mauritius,total,30225.732172276636
Mauritania,mangrove,265.7986772432215
Mauritania,marsh,31149.235297815656
Mauritania,seagrass,NA
Mauritania,total,31415.033975058876
Finland,mangrove,0
Finland,marsh,9190.940333659211
Finland,seagrass,30000
Finland,total,39190.94033365921
British Virgin Islands,mangrove,774.1188000193878
British Virgin Islands,marsh,0
British Virgin Islands,seagrass,39910
British Virgin Islands,total,40684.118800019394
Lithuania,mangrove,0
Lithuania,marsh,41997.550168102534
Lithuania,seagrass,NA
Lithuania,total,41997.550168102534
Morocco,mangrove,0
Morocco,marsh,46097.41128295157
Morocco,seagrass,NA
Morocco,total,46097.41128295157
Kuwait,mangrove,0
Kuwait,marsh,1003.01938261623
Kuwait,seagrass,50000
Kuwait,total,51003.01938261623
Martinique,mangrove,10761.296096507354
Martinique,marsh,0
Martinique,seagrass,41000
Martinique,total,51761.29609650736
Peru,mangrove,41522.85516313671
Peru,marsh,11302.988633622952
Peru,seagrass,NA
Peru,total,52825.84379675966
Timor-Leste,mangrove,10135.807087431305
Timor-Leste,marsh,340.96639807128906
Timor-Leste,seagrass,42660
Timor-Leste,total,53136.77348550259
Eritrea,mangrove,54962.88309518346
Eritrea,marsh,0
Eritrea,seagrass,3130
Eritrea,total,58092.88309518346
Saint Kitts and Nevis,mangrove,519.0686580295936
Saint Kitts and Nevis,marsh,0
Saint Kitts and Nevis,seagrass,60420
Saint Kitts and Nevis,total,60939.068658029595
Trinidad and Tobago,mangrove,63239.436454463474
Trinidad and Tobago,marsh,691.9762915649414
Trinidad and Tobago,seagrass,1120
Trinidad and Tobago,total,65051.412746028414
Georgia,mangrove,0
Georgia,marsh,69167.06712381111
Georgia,seagrass,NA
Georgia,total,69167.06712381111
Algeria,mangrove,0
Algeria,marsh,28970.361866119743
Algeria,seagrass,40560
Algeria,total,69530.36186611974
Malta,mangrove,NA
Malta,marsh,NA
Malta,seagrass,70560
Malta,total,70560
Norway,mangrove,0
Norway,marsh,5553.789903934734
Norway,seagrass,66370.00000000001
Norway,total,71923.78990393475
Cyprus,mangrove,0
Cyprus,marsh,3249.9667182617186
Cyprus,seagrass,70040
Cyprus,total,73289.96671826173
Liberia,mangrove,78053.09361820498
Liberia,marsh,577.4904014282226
Liberia,seagrass,NA
Liberia,total,78630.5840196332
US Virgin Islands,mangrove,1859.7261136141908
US Virgin Islands,marsh,0
US Virgin Islands,seagrass,84090
US Virgin Islands,total,85949.72611361419
North Korea,mangrove,0
North Korea,marsh,88116.7630984873
North Korea,seagrass,NA
North Korea,total,88116.7630984873
Barbados,mangrove,348.95023791503905
Barbados,marsh,0
Barbados,seagrass,90170
Barbados,total,90518.95023791504
Brunei,mangrove,108971.3657837789
Brunei,marsh,383.2652387084961
Brunei,seagrass,NA
Brunei,total,109354.6310224874
Guadeloupe,mangrove,30007.38882327642
Guadeloupe,marsh,0
Guadeloupe,seagrass,82000
Guadeloupe,total,112007.38882327641
Equatorial Guinea,mangrove,126737.25328361336
Equatorial Guinea,marsh,270.92528076171874
Equatorial Guinea,seagrass,NA
Equatorial Guinea,total,127008.17856437508
Albania,mangrove,0
Albania,marsh,85904.65595664544
Albania,seagrass,44060
Albania,total,129964.65595664544
Palau,mangrove,56120.480897537804
Palau,marsh,0
Palau,seagrass,79980
Palau,total,136100.4808975378
Cayman Islands,mangrove,75452.21162515845
Cayman Islands,marsh,679.1645802298751
Cayman Islands,seagrass,63900
Cayman Islands,total,140031.3762053883
Micronesia,mangrove,94064.07835127808
Micronesia,marsh,0
Micronesia,seagrass,48690
Micronesia,total,142754.07835127806
Sweden,mangrove,0
Sweden,marsh,133032.31793345994
Sweden,seagrass,18250
Sweden,total,151282.31793345994
Ireland,mangrove,0
Ireland,marsh,149334.81103135867
Ireland,seagrass,17100
Ireland,total,166434.81103135867
Latvia,mangrove,0
Latvia,marsh,173861.773217883
Latvia,seagrass,NA
Latvia,total,173861.773217883
Poland,mangrove,0
Poland,marsh,177266.8909170813
Poland,seagrass,2650
