depth	min	max	median	mean
0	-65	-65	-65	-65
1	-62	-62	-62	-62
2	-60	-59	-59	-59
3	-56	-54	-54	-55
4	-52	-48	-49	-50
5	-49	-44	-46	-46
6	-46	-41	-43	-43
7	-42	-36	-38	-38
8	-37	-31	-34	-34
9	-33	-27	-30	-30
10	-29	-22	-25	-25
11	-25	-17	-20	-20
12	-20	-11	-15	-15
13	-16	-6	-11	-11
14	-13	-1	-7	-7
15	-9	3	-3	-3
16	-6	7	1	1
17	-3	12	5	5
18	0	16	9	9
19	5	24	16	15
20	9	32	22	21
21	15	42	30	29
22	19	53	37	37
23	23	65	44	44
24	26	78	52	52
25	29	87	56	57
26	31	97	61	62
27	33	105	65	66
28	35	113	69	71
29	37	121	74	75
30	39	131	78	80
