labID,age,error,depth,cc
surface,-65,1,0,0
C14_1,35,28,22.5,1
C14_2,34.5,26.5,42.5,1
C14_3,5242.5,121.5,62.5,1
C14_4,1874.5,71.5,82.5,1
C14_5,2058,65,102.5,1
C14_6,1730,47,122.5,1
C14_7,3463,50,142.5,1
C14_8,3835.5,66.5,162.5,1
C14_9,3969.5,60.5,182.5,1
C14_10,4055.5,82.5,202.5,1
C14_11,5020,81,222.5,1
C14_12,5322.5,179.5,242.5,1
C14_13,5028.5,84.5,262.5,1
C14_14,5263,124,282.5,1
