depth	min	max	median	mean
0	-64	-64	-64	-64
1	-61	-60	-60	-60
2	-58	-56	-57	-57
3	-54	-52	-53	-53
4	-50	-48	-49	-49
5	-45	-42	-44	-44
6	-41	-37	-39	-39
7	-35	-31	-33	-33
8	-29	-25	-27	-27
9	-27	-21	-24	-24
10	-24	-19	-22	-22
11	-22	-17	-19	-19
12	-19	-14	-17	-17
13	-17	-11	-14	-14
14	-14	-8	-11	-11
15	-9	-3	-6	-6
16	-5	2	-2	-1
17	0	7	3	3
18	6	13	9	9
19	12	21	16	16
20	20	29	24	24
21	26	36	31	31
22	32	43	37	37
23	37	50	43	43
24	43	57	49	49
25	48	65	56	56
26	55	73	63	63
27	62	83	72	72
28	69	93	81	81
29	75	101	88	88
30	79	110	95	94
31	84	118	101	101
32	87	126	107	107
33	90	133	112	112
34	93	139	116	116
35	95	145	120	120
36	97	151	124	124
37	100	156	127	128
38	101	162	131	131
39	103	168	134	135
40	105	175	138	138
