labID,depth(cm),density(g/cm^3),210Pb(Bq/kg),sd(210Pb),interval
1,2,0.1,126.06193647,5.500000011,2
2,4,0.12,120.561936459,5.000000009999999,2
3,6,0.08,75.228603035,4.000000008,2
4,8,0.16,96.395269744,4.833333343,2
5,10,0.12,77.895269707,4.500000009,2
6,14,0.15,69.728603024,4.166666675,2
7,16,0.14,52.228602988999995,3.5000000069999997,2
8,20,0.12,34.561936287,2.000000004,2
9,22,0.2,62.72860301,8.000000016,2
10,30,0.28,19.39526959,0,2
11,32,0.26,19.39526959,0,2
12,34,0.21,19.39526959,0,2
13,36,0.21,19.39526959,0,2
14,38,0.21,19.39526959,0,2
15,40,0.23,19.39526959,0,2
16,44,0.16,22.561936263,1.000000002,2
17,46,0.18,20.728602926,0.333333334,2
18,52,0.21,19.39526959,0,2
