depth	min	max	median	mean
0	-64	-64	-64	-64
1	-62	-62	-62	-62
2	-60	-59	-60	-60
3	-58	-58	-58	-58
4	-55	-54	-55	-55
5	-53	-52	-52	-52
6	-50	-49	-49	-49
7	-47	-45	-46	-46
8	-44	-42	-43	-43
9	-41	-39	-40	-40
10	-37	-35	-36	-36
11	-31	-29	-30	-30
12	-24	-22	-23	-23
13	-20	-17	-18	-18
14	-15	-11	-13	-13
15	-12	-8	-10	-10
16	-9	-5	-7	-7
17	-5	0	-3	-3
18	-2	3	0	0
19	2	8	5	5
20	7	14	10	10
21	13	20	16	16
22	20	29	24	24
23	26	36	31	31
24	31	42	36	36
25	35	48	41	41
26	39	52	45	45
27	43	56	49	49
28	47	61	54	54
29	52	67	59	59
30	57	74	65	65
31	61	79	70	70
32	64	85	74	74
33	68	91	79	79
34	71	97	83	84
35	75	105	89	90
36	80	113	95	95
37	83	121	100	101
38	86	128	106	106
39	90	136	112	112
40	94	145	118	118
41	97	152	122	123
42	99	158	127	127
43	102	165	131	132
44	105	171	136	137
