depth	min	max	median	mean
0	-64	-64	-64	-64
1	-64	-63	-63	-63
2	-63	-62	-63	-63
3	-62	-60	-61	-61
4	-61	-58	-60	-59
5	-58	-55	-57	-57
6	-57	-52	-55	-55
7	-55	-51	-53	-53
8	-54	-49	-52	-51
9	-52	-46	-49	-49
10	-50	-43	-47	-47
11	-46	-38	-43	-43
12	-43	-34	-39	-39
13	-41	-30	-36	-36
14	-39	-27	-34	-33
15	-36	-23	-31	-30
16	-34	-19	-28	-27
17	-28	-10	-20	-20
18	-23	1	-13	-13
19	-19	8	-9	-8
20	-16	16	-4	-3
21	-12	24	2	3
22	-8	34	7	9
23	0	40	13	15
24	6	46	20	21
25	15	55	30	31
26	22	68	40	42
27	26	76	46	47
28	30	86	52	53
29	35	95	59	61
30	39	106	67	68
31	43	112	71	72
32	45	118	75	77
33	49	124	80	82
34	52	131	85	87
35	54	138	89	91
36	57	144	93	95
37	60	151	98	100
38	63	158	103	105
39	66	163	108	110
40	70	170	113	115
41	74	175	118	119
42	77	182	122	124
43	81	187	127	129
44	85	194	132	134
45	89	200	137	139
46	93	207	142	144
