labID,depth(cm),density(g/cm^3),210Pb(Bq/kg),sd(210Pb),interval
1,2,0.16,64.895269681,4.666666676,2
2,4,0.27,85.395269722,5.500000011,2
3,6,0.43,76.395269704,4.833333343,2
4,8,0.37,58.395269668,4.000000008,2
5,10,0.47,61.895269674999994,4.166666675,2
6,12,0.43,78.728603042,5.000000009999999,2
7,14,0.27,70.061936358,4.166666675,2
8,16,0.19,83.728603052,6.000000011999999,2
9,18,0.31,94.39526974,6.1666666789999995,2
10,20,0.36,53.72860299199999,4.3333333419999995,2
11,22,0.61,44.395269639999995,3.33333334,2
12,26,0.48,48.228602981,3.33333334,2
13,28,0.29,36.395269624,2.333333338,2
14,30,0.41,36.395269624,2.000000004,2
15,32,0.41,22.395269596,0.500000001,2
16,34,0.34,33.061936284,2.000000004,2
17,36,0.34,30.561936279,1.66666667,2
18,38,0.23,31.561936281,2.333333338,2
19,40,0.35,33.395269618,2.333333338,2
20,42,0.32,28.061936274,1.66666667,2
21,44,0.51,35.728602956,2.5000000049999995,2
22,46,0.31,31.728602948,2.333333338,2
