labID,depth(cm),density(g/cm^3),210Pb(Bq/kg),sd(210Pb),interval,226Ra(Bq/kg),sd(226Ra)
1,2,0.82,26.38,4.168151323,2,17.97617435,1.560435932
2,8,0.85,28.73,4.519143701,2,19.29042727,1.659833867
3,16,0.45,39.17,5.836053333,2,14.6550436,1.358202714
4,20,0.4,40.54,5.870120913,2,13.33497401,1.188474227
5,22,0.67,25.2,4.087352643,2,15.92600771,1.433415399
6,26,1.03,20.74,3.172073838,2,20.04003285,1.572084616
7,32,1.2,22.38,3.469796789,2,18.76645616,1.528788404
8,34,1.4,20.88,2.97088899,2,17.81213931,1.344405285
9,36,1.42,19.72,2.87633743,2,19.56016549,1.490622496
10,38,1.43,21.77,3.666910014,2,20.75261666,1.749748892
11,40,1.5,20.04,2.85415896,2,17.59473283,1.328484399
12,44,1.56,19.63,2.803543922,2,16.47356174,1.244751129
13,50,1.6,18.77,2.636205445,2,18.56305926,1.376698896
14,52,1.5,18,2.618349445,2,18.02957341,1.368021059
15,54,1.6,20.8,3.103425653,2,16.3696809,1.295672845
16,60,1.4,16.98,2.768104098,2,13.88530233,1.191031536
17,62,1.3,11.84,2.034623145,2,15.32330202,1.230662873
18,64,1.22,14.26,2.384301493,2,12.67541067,1.085225726
