depth	min	max	median	mean
0	-66	-66	-66	-66
1	-64	-64	-64	-64
2	-63	-62	-62	-62
3	-61	-60	-60	-60
4	-59	-57	-58	-58
5	-57	-54	-56	-56
6	-55	-51	-53	-53
7	-53	-48	-51	-51
8	-50	-46	-49	-48
9	-48	-42	-46	-45
10	-45	-39	-43	-43
11	-43	-36	-40	-40
12	-41	-33	-37	-37
13	-38	-30	-34	-34
14	-36	-26	-31	-31
15	-34	-24	-29	-29
16	-32	-22	-27	-27
17	-30	-19	-25	-25
18	-28	-16	-22	-22
19	-26	-13	-20	-20
20	-24	-11	-18	-18
21	-22	-8	-16	-16
22	-21	-6	-14	-14
23	-19	-3	-12	-12
24	-17	0	-10	-10
25	-15	3	-8	-7
26	-14	6	-6	-5
27	-12	9	-3	-3
28	-10	12	-1	0
29	-9	16	2	2
30	-7	19	4	5
31	-5	23	7	7
32	-4	27	9	10
33	-2	31	12	13
34	0	35	15	15
35	1	40	18	18
36	3	45	21	21
37	4	51	24	25
38	6	58	27	28
39	7	64	30	32
40	9	70	34	35
41	10	77	37	39
42	12	85	40	42
43	13	92	43	46
44	14	100	47	50
