depth	min	max	median	mean
0	-68	-68	-68	-68
1	-67	-60	-64	-64
2	-65	-55	-61	-60
3	-63	-51	-58	-58
4	-62	-50	-57	-56
5	-60	-48	-55	-54
6	-58	-46	-53	-52
7	-56	-44	-51	-50
8	-55	-43	-49	-49
9	-53	-41	-47	-47
10	-50	-38	-44	-44
11	-47	-35	-42	-41
12	-45	-33	-39	-39
13	-42	-30	-37	-36
14	-40	-27	-35	-34
15	-36	-23	-31	-30
16	-34	-20	-27	-27
17	-31	-17	-24	-24
18	-26	-13	-20	-19
19	-21	-6	-13	-13
20	-16	-1	-8	-8
21	-13	4	-4	-4
22	-8	10	2	2
23	-1	13	5	6
24	1	16	8	9
25	4	21	12	13
26	9	26	17	18
27	14	32	23	23
28	20	37	29	29
29	25	43	35	34
30	32	48	39	39
31	35	52	44	44
32	40	57	48	48
33	43	60	52	52
34	47	65	56	56
35	51	71	61	61
36	54	75	65	65
37	57	79	69	69
38	61	84	73	73
39	64	87	77	77
40	67	91	80	80
41	70	95	84	84
42	73	101	89	89
43	78	111	95	95
44	83	127	105	106
45	89	136	112	112
46	91	144	115	116
47	93	150	120	120
48	95	157	124	125
