labID,depth(cm),density(g/cm^3),210Pb(Bq/kg),sd(210Pb),interval
1,2,0.08,184.5833337025,13.2166666931,2
2,4,0.13,225.2000004504,8.7666666842,2
3,6,0.15,229.4500004589,13.3666666934,2
4,8,0.13,207.50000041499996,10.4000000208,2
5,10,0.13,207.0833337475,11.5833333565,2
6,12,0.18,190.3666670474,8.8500000177,2
7,14,0.29,163.40000032679998,7.8833333491,2
8,16,0.12,168.000000336,9.2833333519,2
9,18,0.12,214.4500004289,11.733333356799998,2
10,20,0.11,266.7833338669,13.650000027299996,2
11,22,0.1,239.1166671449,14.166666694999998,2
12,24,0.12,214.7000004294,12.666666692,2
13,26,0.19,162.3833336581,8.0833333495,2
14,28,0.18,155.00000031,6.866666680399999,2
15,30,0.17,87.3666668414,8.9333333512,2
16,32,0.33,88.3166668433,4.2166666751,2
17,34,0.36,71.28333347590001,3.1500000063,2
18,36,0.26,110.833333555,5.9333333451999994,2
19,38,0.43,49.5833334325,1.5000000029999998,2
20,40,0.43,63.7666667942,2.9166666725,2
21,42,0.53,49.26666676519999,1.3833333361000002,2
22,44,0.57,46.46666675959999,1.0166666687,2
23,46,0.55,50.70000010139999,1.2333333357999998,2
24,48,0.55,59.4166667855,1.8500000037,2
25,50,0.43,72.0333334774,3.0166666726999996,2
