depth	min	max	median	mean
0	-66	-66	-66	-66
1	-66	-65	-65	-65
2	-65	-65	-65	-65
3	-64	-64	-64	-64
4	-63	-62	-63	-63
5	-62	-61	-61	-61
6	-61	-59	-60	-60
7	-60	-58	-59	-59
8	-59	-57	-58	-58
9	-58	-55	-56	-56
10	-56	-54	-55	-55
11	-55	-52	-54	-54
12	-53	-50	-52	-52
13	-51	-48	-49	-49
14	-49	-45	-47	-47
15	-48	-44	-46	-46
16	-47	-42	-45	-45
17	-45	-40	-43	-43
18	-44	-38	-41	-41
19	-41	-36	-39	-39
20	-39	-33	-36	-36
21	-37	-30	-34	-34
22	-35	-27	-31	-31
23	-33	-24	-29	-29
24	-30	-21	-26	-26
25	-27	-16	-22	-22
26	-24	-12	-18	-18
27	-21	-6	-14	-14
28	-18	-1	-10	-10
29	-16	2	-8	-8
30	-15	4	-7	-6
31	-12	9	-3	-2
32	-9	15	1	2
33	-7	21	5	5
34	-5	26	8	9
35	0	43	18	19
36	5	61	27	28
37	6	64	29	30
38	7	68	30	32
39	9	76	35	37
40	11	87	40	43
41	12	90	41	44
42	13	94	43	46
43	13	98	44	47
44	14	102	45	49
45	15	107	48	51
46	15	112	49	53
47	18	117	55	58
48	20	124	60	63
49	24	129	66	69
50	27	137	71	74
