labID,age,error,depth,cc
surface,-61,1,0,0
C14_1,30,30,22.5,1
C14_2,220,30,31.5,1
C14_3,1260,30,37.5,1
C14_4,1850,30,60.5,1
C14_5,2180,30,72.5,1
C14_6,2030,30,77.5,1
