depth	min	max	median	mean
0	-65	-65	-65	-65
1	-60	-59	-60	-60
2	-55	-54	-55	-55
3	-51	-49	-50	-50
4	-46	-43	-44	-44
5	-40	-36	-38	-38
6	-34	-29	-31	-31
7	-23	-16	-20	-20
8	-12	-2	-6	-7
9	0	17	9	9
10	8	32	21	20
11	13	44	29	29
12	20	62	41	41
13	22	68	44	44
14	23	73	48	48
15	24	77	50	50
16	26	82	53	53
17	27	87	56	56
18	29	93	59	59
19	30	98	62	63
20	32	103	65	66
21	34	108	68	69
22	36	113	72	73
23	39	119	77	78
24	43	125	83	83
25	47	131	88	88
26	52	137	93	94
27	57	142	98	99
28	63	148	104	104
29	69	154	109	110
30	73	161	114	115
