depth	min	max	median	mean
0	-65	-65	-65	-65
1	-62	-61	-62	-62
2	-60	-57	-59	-59
3	-57	-53	-55	-55
4	-54	-49	-51	-51
5	-50	-45	-48	-48
6	-47	-41	-44	-44
7	-44	-37	-41	-41
8	-41	-32	-37	-37
9	-38	-28	-34	-34
10	-35	-24	-30	-30
11	-31	-20	-26	-26
12	-28	-15	-22	-22
13	-24	-10	-18	-18
14	-20	-4	-14	-13
15	-17	1	-9	-9
16	-13	8	-4	-4
17	-10	15	1	1
18	-6	23	6	7
19	-3	29	11	11
20	0	37	15	16
21	3	43	20	21
22	6	50	24	25
23	9	56	29	30
24	12	62	33	34
25	15	68	38	39
26	18	74	42	43
27	21	80	47	48
28	24	86	52	52
29	27	93	56	57
30	29	99	61	62
31	32	105	66	66
32	35	111	70	71
33	37	117	75	75
34	40	123	80	80
35	42	129	85	85
36	45	135	89	89
37	47	140	94	93
38	49	146	98	98
39	51	152	103	102
40	54	157	107	107
41	56	162	112	111
42	58	168	116	115
43	60	173	121	120
44	62	179	126	124
45	64	185	130	128
46	65	191	135	132
47	67	197	139	137
48	69	202	143	141
49	70	209	148	145
50	72	216	152	149
