labID,age,error,depth,cc
surface,-62,1,0,0
C14_1,590,30,68.5,1
C14_2,1350,30,102.5,1
C14_3,3010,30,197.5,1
C14_4,3940,30,243.5,1
C14_5,4010,30,313.5,1
