labID,depth(cm),density(g/cm^3),210Pb(Bq/kg),sd(210Pb),interval,226Ra(Bq/kg),sd(226Ra)
1,1,0.0894,139.68500027937,7.29166668125,1,29.02333339138,2.3166666713
2,2,0.1245,157.21000031442,6.44500001289,1,34.81500006963,1.99833333733
3,3,0.1127,143.63333362059998,7.35333334804,1,26.59833338653,2.08500000417
4,4,0.11,179.58166702583,8.24333334982,1,20.901666708469996,2.1400000042799996
5,5,0.1299,152.52000030504001,7.0916666808499995,1,13.79333336092,1.71833333677
6,6,0.1659,149.7333336328,5.99000001198,1,15.71833336477,1.63833333661
7,7,0.1637,136.86000027372,1.36833333607,1,15.145000030289998,1.0500000021
8,8,0.2301,92.48166685163,2.96000000592,1,9.93166668653,0.7266666681199999
9,9,0.257,68.81666680429998,2.87666667242,1,10.60666668788,0.6416666679499999
10,10,0.3499,46.35666675938,2.2533333378399996,1,7.873333349079999,0.62833333459
11,11,0.4678,35.333333404,1.7666666702,1,8.478333350289999,0.45333333423999994
12,12,0.5596,27.71833338877,1.3533333360399995,1,7.796666682259999,0.44000000088
13,13,0.5791,25.000000049999997,1.39833333613,1,7.01333334736,0.39000000078
14,14,0.5923,20.11333337356,1.1366666689399998,1,6.436666679539999,0.33500000066999996
15,15,0.499,25.96000005192,1.5966666698599998,1,6.86500001373,0.54500000109
16,16,0.3567,30.138333393609997,1.7750000035499998,1,8.030000016059999,0.58500000117
17,17,0.2863,30.36166672739,1.7000000033999998,1,9.79333335292,0.6133333345599999
18,18,0.2717,29.29000005858,1.98833333731,1,10.49833335433,0.666666668
19,19,0.2561,34.28666673524,2.2800000045599997,1,8.560000017119998,0.6650000013299999
20,20,0.279,28.53166672373,2.14500000429,1,5.72166667811,0.666666668
21,21,0.2767,26.03000005206,2.10333333754,1,9.67833335269,0.79500000159
22,22,0.3209,20.22166670711,1.1766666690199998,1,7.23000001446,0.31833333396999997
23,23,0.3316,23.533333380399995,0.89000000178,1,6.96333334726,0.29500000059000003
24,24,0.4075,20.69833337473,0.8016666682699999,1,7.07333334748,0.27166666721
25,25,0.4641,20.446666707559995,0.91166666849,1,6.696666680059999,0.28166666722999995
26,26,0.5486,18.0833333695,0.7316666681299999,1,6.66333334666,0.25166666717
27,27,0.4696,17.39500003479,2.2983333379299995,1,8.166666682999999,0.93666666854
28,28,0.5995,17.17000003434,1.23000000246,1,6.245000012489999,0.42833333419
29,29,0.5941,12.87000002574,1.12000000224,1,5.806666678279999,0.38666666743999994
30,30,0.6483,11.770000023540002,1.75333333684,1,3.84833334103,0.6083333345499999
31,31,0.5918,16.163333365659998,1.01166666869,1,5.068333343469999,0.34166666735
32,32,0.5141,13.24833335983,1.22666666912,1,5.3433333440199995,0.36500000073
33,33,0.8904,8.44833335023,1.0150000020299998,1,3.7833333409,0.38166666743
34,34,0.7447,9.030000018059996,1.04000000208,1,4.90166667647,0.33166666733
