depth	min	max	median	mean
0	-65	-65	-65	-65
1	-64	-63	-64	-64
2	-62	-61	-62	-62
3	-61	-60	-60	-60
4	-59	-57	-58	-58
5	-56	-55	-56	-56
6	-53	-52	-53	-53
7	-50	-48	-49	-49
8	-47	-45	-46	-46
9	-45	-42	-43	-43
10	-42	-39	-40	-40
11	-40	-36	-38	-38
12	-37	-33	-35	-35
13	-35	-30	-32	-32
14	-33	-28	-30	-30
15	-30	-25	-27	-27
16	-28	-22	-25	-25
17	-26	-19	-22	-22
18	-24	-16	-20	-20
19	-21	-13	-17	-17
20	-19	-10	-14	-15
21	-17	-8	-12	-12
22	-15	-5	-9	-10
23	-13	-1	-6	-7
24	-10	3	-3	-3
25	-6	9	1	1
26	-3	15	6	6
27	1	22	11	11
28	5	29	17	17
29	9	37	23	23
30	13	45	29	29
31	17	55	36	36
32	21	67	43	43
33	25	79	49	50
34	27	94	55	57
