depth	min	max	median	mean
0	-65	-65	-65	-65
1	-62	-62	-62	-62
2	-60	-59	-59	-59
3	-58	-57	-57	-57
4	-56	-55	-56	-56
5	-54	-51	-53	-53
6	-51	-48	-50	-50
7	-46	-43	-45	-45
8	-42	-38	-40	-40
9	-40	-35	-38	-38
10	-38	-32	-35	-35
11	-36	-30	-33	-33
12	-34	-27	-31	-31
13	-32	-25	-28	-28
14	-29	-22	-26	-26
15	-25	-16	-21	-21
16	-21	-11	-17	-16
17	-14	-2	-9	-8
18	-8	9	-1	0
19	-4	16	4	5
20	0	23	9	10
21	3	27	12	13
22	5	32	15	16
23	8	39	20	21
24	11	46	24	25
25	14	53	28	29
26	18	59	33	34
27	24	68	41	42
28	29	78	48	50
29	35	86	56	57
30	40	98	64	65
31	44	105	69	70
32	47	113	74	75
33	50	119	78	80
34	53	125	83	84
35	57	132	88	90
36	61	139	93	95
37	64	146	98	100
38	67	153	104	105
39	71	159	109	110
40	74	167	113	115
41	77	172	118	120
42	80	179	123	125
43	84	185	128	130
44	87	192	133	135
45	92	198	138	140
46	95	205	143	145
