depth	min	max	median	mean
0	-65	-65	-65	-65
1	-64	-64	-64	-64
2	-63	-63	-63	-63
3	-61	-60	-61	-61
4	-59	-58	-59	-59
5	-57	-55	-56	-56
6	-55	-53	-54	-54
7	-52	-50	-51	-51
8	-47	-44	-46	-46
9	-42	-39	-41	-41
10	-39	-36	-38	-38
11	-37	-33	-35	-35
12	-36	-31	-34	-34
13	-33	-29	-31	-31
14	-31	-26	-29	-29
15	-29	-23	-27	-26
16	-25	-19	-22	-22
17	-17	-11	-14	-14
18	-13	-6	-10	-10
19	-7	1	-3	-3
20	-1	10	4	4
21	5	17	11	11
22	11	26	17	18
23	14	30	21	21
24	16	33	23	23
25	17	36	26	26
26	20	39	28	29
27	23	45	33	33
28	26	49	36	36
29	29	54	39	40
30	31	59	43	43
31	33	61	45	45
32	34	65	47	48
33	37	70	51	52
34	41	78	57	57
35	46	88	63	64
36	50	97	70	71
37	55	105	78	78
38	60	114	84	85
39	64	121	90	91
40	68	128	96	96
