labID,depth(cm),density(g/cm^3),210Pb(Bq/kg),sd(210Pb),interval
1,2.5,0.11155,128.902333591138,69.65931894889911,2.5
2,5,0.16189,93.909833521153,50.74923675499505,2.5
3,7.5,0.16913,87.34000017468,47.19887343903923,2.5
4,10,0.1809,65.904500131809,35.615046422752016,2.5
5,15,0.22925,43.786166754239,23.662213634997464,5
6,20,0.20997,26.154666718976,14.134082915505587,5
7,25,0.24175,25.84666671836,13.967638525544242,5
8,35,0.17656,12.041500024083,6.50727312246612,5
9,45,0.11137,8.675000017349998,4.688003515956781,5
10,60,0.09475,5.977000011954,3.2299938922044595,10
