depth	min	max	median	mean
0	-65	-65	-65	-65
1	-63	-62	-63	-63
2	-60	-60	-60	-60
3	-57	-56	-57	-57
4	-54	-53	-53	-53
5	-51	-50	-50	-50
6	-49	-47	-48	-48
7	-44	-42	-43	-43
8	-41	-38	-39	-39
9	-39	-37	-38	-38
10	-37	-35	-36	-36
11	-35	-32	-34	-34
12	-30	-27	-29	-29
13	-26	-23	-24	-24
14	-23	-19	-21	-21
15	-21	-17	-19	-19
16	-18	-15	-17	-17
17	-16	-12	-14	-14
18	-14	-10	-12	-12
19	-11	-7	-9	-9
20	-7	-3	-5	-5
21	-5	0	-3	-3
22	-3	2	-1	-1
23	1	6	3	3
24	6	12	9	9
25	12	19	15	15
26	19	27	23	23
27	23	31	26	27
28	27	37	32	32
29	34	46	40	40
30	40	53	46	46
31	42	56	49	49
32	45	59	51	51
33	47	63	54	54
34	49	66	57	57
35	53	72	62	62
36	57	78	66	67
37	60	83	70	70
38	63	87	73	74
39	65	93	77	78
40	68	98	81	81
41	71	104	85	86
42	75	109	89	90
43	78	116	93	94
44	81	122	97	98
45	83	127	101	102
46	85	132	104	105
47	87	136	107	108
48	90	142	111	112
49	93	148	115	116
50	97	153	120	121
51	100	160	125	126
52	105	166	130	132
53	109	172	136	137
54	114	179	142	143
55	119	185	147	149
56	123	192	153	154
57	127	197	158	159
58	131	203	163	164
59	136	209	169	170
60	141	215	174	175
61	145	221	179	180
62	149	227	184	185
63	153	232	189	190
64	158	238	194	195
65	162	244	199	200
66	166	250	204	205
67	170	255	209	210
68	175	262	214	215
